Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
BRL,,117.36,,133.25,,2021.01.21 22:14:07
BRL,,117.49,,133.41,,2021.01.21 22:01:48
BRL,,117.49,,133.41,,2021.01.21 21:58:34
BRL,,117.5,,133.42,,2021.01.21 21:55:36
BRL,,117.8,,133.75,,2021.01.21 21:51:46
BRL,,117.69,,133.62,,2021.01.21 21:34:12
BRL,,117.79,,133.74,,2021.01.21 21:25:55
BRL,,117.74,,133.69,,2021.01.21 21:17:44
BRL,,117.9,,133.86,,2021.01.21 21:06:35
BRL,,117.85,,133.81,,2021.01.21 21:05:25
BRL,,118.1,,134.09,,2021.01.21 20:50:42
BRL,,118.36,,134.39,,2021.01.21 20:45:51
BRL,,117.2,,133.07,,2021.01.21 19:26:12
BRL,,117.2,,133.07,,2021.01.21 19:06:17
BRL,,117.21,,133.08,,2021.01.21 18:55:06
BRL,,117.21,,133.08,,2021.01.21 18:44:28
BRL,,117.21,,133.08,,2021.01.21 18:02:25
BRL,,117.22,,133.09,,2021.01.21 17:40:41
BRL,,117.23,,133.1,,2021.01.21 17:33:46
BRL,,117.24,,133.11,,2021.01.21 17:31:53
BRL,,117.24,,133.11,,2021.01.21 17:22:38
BRL,,117.24,,133.11,,2021.01.21 17:21:40
BRL,,117.24,,133.11,,2021.01.21 17:20:24
BRL,,117.23,,133.1,,2021.01.21 17:20:09
BRL,,117.23,,133.1,,2021.01.21 17:19:04
BRL,,117.22,,133.09,,2021.01.21 17:17:55
BRL,,117.22,,133.09,,2021.01.21 17:13:28
BRL,,117.23,,133.1,,2021.01.21 17:12:08
BRL,,117.21,,133.08,,2021.01.21 17:00:04
BRL,,117.21,,133.08,,2021.01.21 16:56:55
BRL,,117.2,,133.07,,2021.01.21 16:56:39
BRL,,117.22,,133.09,,2021.01.21 16:55:53
BRL,,117.22,,133.09,,2021.01.21 16:52:22
BRL,,117.21,,133.08,,2021.01.21 16:51:57
BRL,,117.22,,133.09,,2021.01.21 16:47:22
BRL,,117.25,,133.13,,2021.01.21 16:40:09
BRL,,117.24,,133.12,,2021.01.21 16:28:30
BRL,,117.25,,133.13,,2021.01.21 16:23:39
BRL,,117.24,,133.12,,2021.01.21 16:20:28
BRL,,117.23,,133.1,,2021.01.21 16:18:17
BRL,,117.22,,133.09,,2021.01.21 16:15:10
BRL,,117.22,,133.09,,2021.01.21 16:13:36
BRL,,117.23,,133.1,,2021.01.21 16:12:19
BRL,,117.22,,133.09,,2021.01.21 16:12:10
BRL,,117.22,,133.09,,2021.01.21 16:09:05
BRL,,117.22,,133.09,,2021.01.21 15:59:34
BRL,,117.21,,133.08,,2021.01.21 15:55:29
BRL,,117.2,,133.07,,2021.01.21 15:54:52
BRL,,117.19,,133.06,,2021.01.21 15:50:12
BRL,,117.2,,133.07,,2021.01.21 15:49:14
BRL,,117.2,,133.07,,2021.01.21 15:46:20
BRL,,117.2,,133.07,,2021.01.21 15:43:07
BRL,,117.21,,133.08,,2021.01.21 15:36:34
BRL,,117.21,,133.08,,2021.01.21 15:33:55
BRL,,117.22,,133.09,,2021.01.21 15:32:51
BRL,,117.22,,133.09,,2021.01.21 15:24:31
BRL,,117.21,,133.08,,2021.01.21 15:24:13
BRL,,117.2,,133.07,,2021.01.21 15:23:40
BRL,,117.19,,133.06,,2021.01.21 15:23:01
BRL,,117.18,,133.05,,2021.01.21 15:21:28
BRL,,117.17,,133.03,,2021.01.21 15:15:19
BRL,,117.16,,133.02,,2021.01.21 15:07:38
BRL,,117.15,,133.01,,2021.01.21 15:06:54
BRL,,117.14,,133,,2021.01.21 15:05:12
BRL,,117.15,,133.01,,2021.01.21 14:58:09
BRL,,117.16,,133.02,,2021.01.21 14:53:47
BRL,,117.16,,133.02,,2021.01.21 14:49:31
BRL,,117.15,,133.01,,2021.01.21 14:48:07
BRL,,117.15,,133.01,,2021.01.21 14:46:52
BRL,,117.15,,133.01,,2021.01.21 14:43:24
BRL,,117.15,,133.01,,2021.01.21 14:42:18
BRL,,117.15,,133.01,,2021.01.21 14:39:39
BRL,,117.15,,133.01,,2021.01.21 14:37:03
BRL,,117.16,,133.02,,2021.01.21 14:35:50
BRL,,117.16,,133.02,,2021.01.21 14:26:05
BRL,,117.16,,133.02,,2021.01.21 14:18:29
BRL,,117.16,,133.02,,2021.01.21 14:06:39
BRL,,117.14,,133,,2021.01.21 14:05:48
BRL,,117.13,,132.99,,2021.01.21 14:03:58
BRL,,117.12,,132.98,,2021.01.21 13:58:43
BRL,,117.13,,132.99,,2021.01.21 13:58:00
BRL,,117.14,,133,,2021.01.21 13:56:39
BRL,,117.15,,133.01,,2021.01.21 13:54:04
BRL,,117.16,,133.02,,2021.01.21 13:51:26
BRL,,117.15,,133.01,,2021.01.21 13:49:00
BRL,,117.16,,133.02,,2021.01.21 13:43:41
BRL,,117.16,,133.02,,2021.01.21 13:43:38
BRL,,117.15,,133.01,,2021.01.21 13:37:48
BRL,,117.14,,133,,2021.01.21 13:28:19
BRL,,117.15,,133.01,,2021.01.21 12:53:51
BRL,,117.16,,133.02,,2021.01.21 12:28:38
BRL,,117.17,,133.03,,2021.01.21 12:20:34
BRL,,117.17,,133.03,,2021.01.21 12:12:55
BRL,,117.17,,133.03,,2021.01.21 12:00:33
BRL,,117.15,,133.01,,2021.01.21 11:54:01
BRL,,117.16,,133.02,,2021.01.21 11:51:07
BRL,,117.17,,133.03,,2021.01.21 11:45:16
BRL,,117.16,,133.02,,2021.01.21 11:45:04
BRL,,117.16,,133.02,,2021.01.21 11:41:28
BRL,,117.17,,133.03,,2021.01.21 11:31:28
BRL,,117.18,,133.05,,2021.01.21 11:23:41
BRL,,117.18,,133.05,,2021.01.21 11:11:44
BRL,,117.17,,133.03,,2021.01.21 10:58:23
BRL,,117.17,,133.03,,2021.01.21 10:55:33
BRL,,117.16,,133.02,,2021.01.21 10:52:02
BRL,,117.15,,133.01,,2021.01.21 10:50:46
BRL,,117.17,,133.03,,2021.01.21 10:46:40
BRL,,117.17,,133.03,,2021.01.21 10:44:05
BRL,,117.18,,133.05,,2021.01.21 10:34:59
BRL,,117.18,,133.05,,2021.01.21 10:30:00
BRL,,117.18,,133.05,,2021.01.21 10:30:00
BRL,,117.18,,133.05,,2021.01.21 10:30:00
BRL,,117.18,,133.05,,2021.01.21 10:29:10
BRL,,117.17,,133.03,,2021.01.21 10:19:13
BRL,,117.18,,133.05,,2021.01.21 10:18:43
BRL,,117.19,,133.06,,2021.01.21 10:13:34
BRL,,117.19,,133.06,,2021.01.21 10:11:20
BRL,,117.19,,133.06,,2021.01.21 10:11:20
BRL,,117.19,,133.06,,2021.01.21 10:10:18
BRL,,117.19,,133.06,,2021.01.21 10:10:18
BRL,,117.19,,133.06,,2021.01.21 10:10:01
BRL,,117.2,,133.07,,2021.01.21 10:07:48
BRL,,117.19,,133.06,,2021.01.21 10:06:19
BRL,,117.2,,133.07,,2021.01.21 10:04:25
BRL,,117.19,,133.06,,2021.01.21 10:02:59
BRL,,117.18,,133.05,,2021.01.21 10:01:11
BRL,,117.17,,133.03,,2021.01.21 10:00:28
BRL,,117.18,,133.05,,2021.01.21 09:58:18
BRL,,117.19,,133.06,,2021.01.21 09:53:52
BRL,,117.18,,133.05,,2021.01.21 09:52:15
BRL,,117.17,,133.03,,2021.01.21 09:51:47
BRL,,117.2,,133.07,,2021.01.21 09:49:28
BRL,,117.19,,133.06,,2021.01.21 09:49:19
BRL,,117.19,,133.06,,2021.01.21 09:48:47
BRL,,117.18,,133.05,,2021.01.21 09:48:19
BRL,,117.17,,133.03,,2021.01.21 09:47:44
BRL,,117.15,,133.01,,2021.01.21 09:44:44
BRL,,117.16,,133.02,,2021.01.21 09:44:22
BRL,,117.14,,133,,2021.01.21 09:41:10
BRL,,117.16,,133.02,,2021.01.21 09:39:24
BRL,,117.18,,133.05,,2021.01.21 09:37:41
BRL,,117.16,,133.02,,2021.01.21 09:33:53
BRL,,117.17,,133.03,,2021.01.21 09:32:41
BRL,,117.15,,133.01,,2021.01.21 09:30:34
BRL,,117.19,,133.06,,2021.01.21 09:21:33
BRL,,117.19,,133.06,,2021.01.21 09:21:28
BRL,,117.19,,133.06,,2021.01.21 09:13:03
BRL,,117.24,,133.12,,2021.01.21 09:12:57
BRL,,117.29,,133.18,,2021.01.21 09:06:30
BRL,,117.29,,133.18,,2021.01.21 08:39:40
BRL,,117.29,,133.18,,2021.01.21 07:53:45
BRL,,117.29,,133.18,,2021.01.21 07:43:52
BRL,,117.29,,133.18,,2021.01.21 07:28:32
BRL,,117.29,,133.18,,2021.01.21 06:55:59
BRL,,117.18,,133.05,,2021.01.21 05:30:00
BRL,,117.18,,133.05,,2021.01.21 05:30:00
BRL,,117.18,,133.05,,2021.01.21 05:30:00
BRL,,117.18,,133.05,,2021.01.21 00:20:39
BRL,,117.14,,133,,2021.01.20 23:57:15
BRL,,117.14,,133,,2021.01.21 00:00:05
BRL,,117.14,,133,,2021.01.20 23:57:15
BRL,,117.14,,133,,2021.01.20 23:57:15
BRL,,117.29,,133.18,,2021.01.20 23:34:47
BRL,,117.09,,132.95,,2021.01.20 23:10:54
BRL,,117.18,,133.05,,2021.01.20 23:07:47
BRL,,117.05,,132.9,,2021.01.20 22:56:10
BRL,,117.02,,132.87,,2021.01.20 22:50:01
BRL,,117.34,,133.23,,2021.01.20 22:45:41
BRL,,117.21,,133.08,,2021.01.20 22:38:48
BRL,,116.72,,132.52,,2021.01.20 22:24:19
BRL,,116.63,,132.42,,2021.01.20 21:46:41
BRL,,116.83,,132.65,,2021.01.20 21:25:47
BRL,,116.83,,132.65,,2021.01.20 21:06:33
BRL,,116.68,,132.48,,2021.01.20 20:56:31
BRL,,116.35,,132.11,,2021.01.20 20:52:59
BRL,,116.28,,132.02,,2021.01.20 20:50:30
BRL,,116.24,,131.98,,2021.01.20 20:46:06
BRL,,116.04,,131.76,,2021.01.20 20:19:07
BRL,,116.35,,132.11,,2021.01.20 20:07:02
BRL,,115.82,,131.51,,2021.01.20 19:49:25
BRL,,115.82,,131.51,,2021.01.20 19:34:53
BRL,,115.81,,131.5,,2021.01.20 19:09:54
BRL,,115.81,,131.5,,2021.01.20 19:01:16
BRL,,115.83,,131.52,,2021.01.20 19:01:10
BRL,,115.85,,131.54,,2021.01.20 18:46:40
BRL,,115.84,,131.53,,2021.01.20 18:45:07
BRL,,115.84,,131.53,,2021.01.20 18:02:56
BRL,,115.86,,131.55,,2021.01.20 17:59:17
BRL,,115.88,,131.57,,2021.01.20 17:34:11
BRL,,115.88,,131.57,,2021.01.20 17:29:13
BRL,,115.86,,131.55,,2021.01.20 17:22:36
BRL,,115.86,,131.55,,2021.01.20 17:18:40
BRL,,115.86,,131.55,,2021.01.20 17:15:27
BRL,,115.84,,131.53,,2021.01.20 17:09:44
