Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
DKK,105.09,101.84,105.93,106.44,105.33,2021.01.21 22:14:07
DKK,105.09,101.84,105.93,106.44,105.33,2021.01.21 22:01:48
DKK,105.16,101.91,106,106.51,105.33,2021.01.21 21:58:34
DKK,105.17,101.92,106.01,106.52,105.33,2021.01.21 21:55:36
DKK,105.25,102,106.09,106.6,105.33,2021.01.21 21:51:46
DKK,105.15,101.9,105.99,106.5,105.33,2021.01.21 21:34:12
DKK,105.22,101.97,106.06,106.57,105.33,2021.01.21 21:25:55
DKK,105.19,101.94,106.03,106.54,105.33,2021.01.21 21:17:44
DKK,105.12,101.87,105.96,106.47,105.33,2021.01.21 21:06:35
DKK,105.09,101.84,105.93,106.44,105.33,2021.01.21 21:05:25
DKK,105.12,101.87,105.96,106.47,105.33,2021.01.21 20:50:42
DKK,105.12,101.87,105.96,106.47,105.33,2021.01.21 20:45:51
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 19:26:12
DKK,105,101.76,105.84,106.35,105.33,2021.01.21 19:06:17
DKK,104.99,101.75,105.83,106.34,105.33,2021.01.21 18:55:06
DKK,104.97,101.73,105.81,106.32,105.33,2021.01.21 18:44:28
DKK,105.02,101.78,105.86,106.37,105.33,2021.01.21 18:02:25
DKK,105.04,101.8,105.88,106.39,105.33,2021.01.21 17:40:41
DKK,105.04,101.8,105.88,106.39,105.33,2021.01.21 17:33:46
DKK,105.02,101.78,105.86,106.37,105.33,2021.01.21 17:31:53
DKK,105,101.76,105.84,106.35,105.33,2021.01.21 17:22:38
DKK,105,101.76,105.84,106.35,105.33,2021.01.21 17:21:40
DKK,105,101.76,105.84,106.35,105.33,2021.01.21 17:20:24
DKK,104.99,101.75,105.83,106.34,105.33,2021.01.21 17:20:09
DKK,105.01,101.77,105.85,106.36,105.33,2021.01.21 17:19:04
DKK,104.98,101.74,105.82,106.33,105.33,2021.01.21 17:17:55
DKK,104.96,101.72,105.8,106.31,105.33,2021.01.21 17:13:28
DKK,104.98,101.74,105.82,106.33,105.33,2021.01.21 17:12:08
DKK,104.96,101.72,105.8,106.31,105.33,2021.01.21 17:00:04
DKK,104.96,101.72,105.8,106.31,105.33,2021.01.21 16:56:55
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 16:56:39
DKK,104.99,101.75,105.83,106.34,105.33,2021.01.21 16:55:53
DKK,104.99,101.75,105.83,106.34,105.33,2021.01.21 16:52:22
DKK,104.98,101.74,105.82,106.33,105.33,2021.01.21 16:51:57
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 16:47:22
DKK,104.87,101.63,105.71,106.22,105.33,2021.01.21 16:40:09
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 16:28:30
DKK,104.88,101.64,105.72,106.23,105.33,2021.01.21 16:23:39
DKK,104.87,101.63,105.71,106.22,105.33,2021.01.21 16:20:28
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 16:18:17
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 16:15:10
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 16:13:36
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 16:12:19
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 16:12:10
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 16:09:05
DKK,104.86,101.62,105.7,106.21,105.33,2021.01.21 15:59:34
DKK,104.93,101.69,105.77,106.28,105.33,2021.01.21 15:55:29
DKK,104.93,101.69,105.77,106.28,105.33,2021.01.21 15:54:52
DKK,104.97,101.73,105.81,106.32,105.33,2021.01.21 15:50:12
DKK,104.98,101.74,105.82,106.33,105.33,2021.01.21 15:49:14
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 15:46:20
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 15:43:07
DKK,104.96,101.72,105.8,106.31,105.33,2021.01.21 15:36:34
DKK,104.93,101.69,105.77,106.28,105.33,2021.01.21 15:33:55
DKK,104.96,101.72,105.8,106.31,105.33,2021.01.21 15:32:51
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 15:24:31
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 15:24:13
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 15:23:40
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 15:23:01
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 15:21:28
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 15:15:19
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 15:07:38
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 15:06:54
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 15:05:12
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 14:58:09
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 14:53:47
DKK,104.89,101.65,105.73,106.24,105.33,2021.01.21 14:49:31
DKK,104.88,101.64,105.72,106.23,105.33,2021.01.21 14:48:07
DKK,104.89,101.65,105.73,106.24,105.33,2021.01.21 14:46:52
DKK,104.88,101.64,105.72,106.23,105.33,2021.01.21 14:43:24
DKK,104.89,101.65,105.73,106.24,105.33,2021.01.21 14:42:18
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 14:39:39
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 14:37:03
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 14:35:50
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 14:26:05
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 14:18:29
DKK,104.93,101.69,105.77,106.28,105.33,2021.01.21 14:06:39
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 14:05:48
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 14:03:58
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 13:58:43
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 13:58:00
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 13:56:39
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 13:54:04
DKK,104.95,101.71,105.79,106.3,105.33,2021.01.21 13:51:26
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 13:49:00
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 13:43:41
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 13:43:38
DKK,104.94,101.7,105.78,106.29,105.33,2021.01.21 13:37:48
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 13:28:19
DKK,104.88,101.64,105.72,106.23,105.33,2021.01.21 12:53:51
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 12:28:38
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 12:20:34
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 12:12:55
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 12:00:33
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 11:54:01
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 11:51:07
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 11:45:16
DKK,104.9,101.66,105.74,106.25,105.33,2021.01.21 11:45:04
DKK,104.89,101.65,105.73,106.24,105.33,2021.01.21 11:41:28
DKK,104.92,101.68,105.76,106.27,105.33,2021.01.21 11:31:28
DKK,104.91,101.67,105.75,106.26,105.33,2021.01.21 11:23:41
DKK,104.89,101.65,105.73,106.24,105.33,2021.01.21 11:11:44
DKK,104.89,101.65,105.73,106.24,105.33,2021.01.21 10:58:23
