Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
HKD,83.19,82.53,83.53,83.53,83.46,2021.01.21 22:14:07
HKD,83.19,82.53,83.53,83.53,83.46,2021.01.21 22:01:48
HKD,83.19,82.53,83.53,83.53,83.46,2021.01.21 21:58:34
HKD,83.18,82.52,83.52,83.52,83.46,2021.01.21 21:55:36
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 21:51:46
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 21:34:12
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 21:25:55
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 21:17:44
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 21:06:35
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 21:05:25
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 20:50:42
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 20:45:51
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 19:26:12
HKD,83.17,82.51,83.51,83.51,83.46,2021.01.21 19:06:17
HKD,83.18,82.52,83.52,83.52,83.46,2021.01.21 18:55:06
HKD,83.18,82.52,83.52,83.52,83.46,2021.01.21 18:44:28
HKD,83.18,82.52,83.52,83.52,83.46,2021.01.21 18:02:25
HKD,83.18,82.52,83.52,83.52,83.46,2021.01.21 17:40:41
HKD,83.19,82.53,83.53,83.53,83.46,2021.01.21 17:33:46
HKD,83.2,82.54,83.54,83.54,83.46,2021.01.21 17:31:53
HKD,83.2,82.54,83.54,83.54,83.46,2021.01.21 17:22:38
HKD,83.2,82.54,83.54,83.54,83.46,2021.01.21 17:21:40
HKD,83.2,82.54,83.54,83.54,83.46,2021.01.21 17:20:24
HKD,83.19,82.53,83.53,83.53,83.46,2021.01.21 17:20:09
HKD,83.19,82.53,83.53,83.53,83.46,2021.01.21 17:19:04
HKD,83.18,82.52,83.52,83.52,83.46,2021.01.21 17:17:55
