Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
KRW,0.5848,0.5642,0.5894,0.6111,0.5884,2021.01.21 22:14:07
KRW,0.5848,0.5642,0.5894,0.6111,0.5884,2021.01.21 22:01:48
KRW,0.5849,0.5643,0.5895,0.6112,0.5884,2021.01.21 21:58:34
KRW,0.5848,0.5642,0.5894,0.6111,0.5884,2021.01.21 21:55:36
KRW,0.5849,0.5643,0.5895,0.6112,0.5884,2021.01.21 21:51:46
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 21:34:12
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 21:25:55
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 21:17:44
KRW,0.585,0.5644,0.5896,0.6113,0.5884,2021.01.21 21:06:35
KRW,0.5849,0.5643,0.5895,0.6112,0.5884,2021.01.21 21:05:25
KRW,0.5852,0.5646,0.5899,0.6115,0.5884,2021.01.21 20:50:42
KRW,0.5852,0.5646,0.5899,0.6115,0.5884,2021.01.21 20:45:51
KRW,0.5848,0.5642,0.5894,0.6111,0.5884,2021.01.21 19:26:12
KRW,0.5849,0.5643,0.5895,0.6112,0.5884,2021.01.21 19:06:17
KRW,0.585,0.5644,0.5896,0.6113,0.5884,2021.01.21 18:55:06
KRW,0.5847,0.5641,0.5893,0.6109,0.5884,2021.01.21 18:44:28
KRW,0.5852,0.5647,0.59,0.6116,0.5884,2021.01.21 18:02:25
KRW,0.5852,0.5646,0.5899,0.6115,0.5884,2021.01.21 17:40:41
KRW,0.5852,0.5647,0.59,0.6116,0.5884,2021.01.21 17:33:46
KRW,0.5852,0.5646,0.5899,0.6115,0.5884,2021.01.21 17:31:53
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 17:22:38
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 17:21:40
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 17:20:24
KRW,0.585,0.5644,0.5896,0.6113,0.5884,2021.01.21 17:20:09
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 17:19:04
KRW,0.5851,0.5645,0.5897,0.6114,0.5884,2021.01.21 17:17:55
