Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
PHP,13.37,12.91,13.53,14.13,,2021.01.21 22:14:07
PHP,13.37,12.91,13.53,14.13,,2021.01.21 22:01:48
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:58:34
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:55:36
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:51:46
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:34:12
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:25:55
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:17:44
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:06:35
PHP,13.37,12.91,13.53,14.13,,2021.01.21 21:05:25
PHP,13.37,12.91,13.53,14.13,,2021.01.21 20:50:42
PHP,13.36,12.9,13.52,14.12,,2021.01.21 20:45:51
PHP,13.36,12.9,13.52,14.12,,2021.01.21 19:26:12
PHP,13.37,12.91,13.53,14.13,,2021.01.21 19:06:17
PHP,13.37,12.91,13.53,14.13,,2021.01.21 18:55:06
PHP,13.37,12.91,13.53,14.13,,2021.01.21 18:44:28
PHP,13.36,12.9,13.52,14.12,,2021.01.21 18:02:25
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:40:41
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:33:46
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:31:53
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:22:38
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:21:40
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:20:24
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:20:09
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:19:04
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:17:55
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:13:28
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:12:08
PHP,13.36,12.9,13.52,14.12,,2021.01.21 17:00:04
PHP,13.36,12.9,13.52,14.12,,2021.01.21 16:56:55
