Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 10:30:00
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 10:30:00
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 10:30:00
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 10:30:00
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 10:30:00
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 05:53:24
CAD,504.8,488.86,508.52,510.76,504.62,2021.02.06 05:53:19
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.06 05:30:00
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.06 05:30:00
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.06 05:30:00
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.06 00:00:05
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.05 23:40:49
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.05 23:40:49
CAD,504.29,488.37,508.01,510.25,504.62,2021.02.05 23:40:49
CAD,504.05,488.14,507.77,510.01,504.62,2021.02.05 23:29:49
CAD,504.05,488.14,507.77,510.01,504.62,2021.02.05 23:27:34
CAD,503.82,487.91,507.54,509.78,504.62,2021.02.05 23:24:42
CAD,503.58,487.68,507.3,509.53,504.62,2021.02.05 23:16:21
CAD,503.94,488.03,507.66,509.9,504.62,2021.02.05 23:11:53
CAD,503.58,487.68,507.3,509.53,504.62,2021.02.05 23:02:38
CAD,503.66,487.76,507.38,509.62,504.62,2021.02.05 22:54:20
CAD,503.7,487.8,507.42,509.66,504.62,2021.02.05 22:53:45
CAD,504.05,488.14,507.77,510.01,504.62,2021.02.05 22:45:31
CAD,503.85,487.94,507.57,509.81,504.62,2021.02.05 21:51:57
CAD,504.05,488.14,507.77,510.01,504.62,2021.02.05 21:49:06
CAD,503.85,487.94,507.57,509.81,504.62,2021.02.05 21:46:19
CAD,503.61,487.71,507.33,509.56,504.62,2021.02.05 21:40:38
CAD,503.34,487.45,507.06,509.29,504.62,2021.02.05 21:33:44
