Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 10:30:00
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 10:30:00
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 10:30:00
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 10:30:00
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 10:30:00
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 05:53:24
CHF,716.34,694.24,721.38,724.47,715.68,2021.02.06 05:53:19
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.06 05:30:00
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.06 05:30:00
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.06 05:30:00
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.06 00:00:05
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.05 23:40:49
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.05 23:40:49
CHF,715.23,693.16,720.25,723.34,715.68,2021.02.05 23:40:49
CHF,715.15,693.08,720.17,723.26,715.68,2021.02.05 23:29:49
CHF,715.09,693.02,720.11,723.2,715.68,2021.02.05 23:27:34
CHF,714.82,692.76,719.84,722.93,715.68,2021.02.05 23:24:42
CHF,715.03,692.96,720.05,723.14,715.68,2021.02.05 23:16:21
CHF,715.38,693.3,720.4,723.49,715.68,2021.02.05 23:11:53
CHF,714.82,692.76,719.84,722.93,715.68,2021.02.05 23:02:38
CHF,715.01,692.94,720.03,723.12,715.68,2021.02.05 22:54:20
CHF,714.96,692.9,719.98,723.07,715.68,2021.02.05 22:53:45
CHF,715.07,693,720.09,723.18,715.68,2021.02.05 22:45:31
CHF,715,692.94,720.02,723.11,715.68,2021.02.05 21:51:57
CHF,715.43,693.35,720.45,723.54,715.68,2021.02.05 21:49:06
CHF,714.77,692.71,719.79,722.87,715.68,2021.02.05 21:46:19
CHF,714.69,692.64,719.71,722.79,715.68,2021.02.05 21:40:38
CHF,714.32,692.28,719.34,722.42,715.68,2021.02.05 21:33:44
CHF,714.48,692.43,719.5,722.58,715.68,2021.02.05 21:31:49
CHF,713.85,691.82,718.87,721.95,715.68,2021.02.05 20:49:09
CHF,714.17,692.13,719.19,722.27,715.68,2021.02.05 20:33:55
CHF,713.34,691.33,718.36,721.43,715.68,2021.02.05 19:54:57
CHF,713.63,691.61,718.65,721.73,715.68,2021.02.05 18:27:51
CHF,713.44,691.43,718.46,721.53,715.68,2021.02.05 18:02:01
CHF,713.49,691.48,718.51,721.58,715.68,2021.02.05 18:01:52
CHF,713.79,691.77,718.81,721.89,715.68,2021.02.05 17:51:05
CHF,714.1,692.07,719.12,722.2,715.68,2021.02.05 17:46:23
CHF,714.02,691.99,719.04,722.12,715.68,2021.02.05 17:29:03
CHF,713.94,691.91,718.96,722.04,715.68,2021.02.05 17:26:17
CHF,714.11,692.08,719.13,722.21,715.68,2021.02.05 17:25:44
CHF,714.17,692.13,719.19,722.27,715.68,2021.02.05 17:24:28
CHF,714.17,692.13,719.19,722.27,715.68,2021.02.05 17:19:37
CHF,714.32,692.28,719.34,722.42,715.68,2021.02.05 17:16:36
CHF,714.4,692.36,719.42,722.5,715.68,2021.02.05 17:15:41
CHF,714.48,692.43,719.5,722.58,715.68,2021.02.05 17:12:59
CHF,714.48,692.43,719.5,722.58,715.68,2021.02.05 17:06:54
CHF,714.54,692.49,719.56,722.64,715.68,2021.02.05 17:06:39
CHF,714.67,692.62,719.69,722.77,715.68,2021.02.05 17:04:28
CHF,714.67,692.62,719.69,722.77,715.68,2021.02.05 17:03:56
CHF,714.59,692.54,719.61,722.69,715.68,2021.02.05 17:02:38
CHF,714.65,692.6,719.67,722.75,715.68,2021.02.05 16:59:45
CHF,714.71,692.66,719.73,722.81,715.68,2021.02.05 16:59:16
CHF,714.84,692.78,719.86,722.95,715.68,2021.02.05 16:58:18
CHF,714.74,692.68,719.76,722.84,715.68,2021.02.05 16:57:59
CHF,714.71,692.66,719.73,722.81,715.68,2021.02.05 16:52:39
CHF,714.61,692.56,719.63,722.71,715.68,2021.02.05 16:47:04
CHF,714.45,692.4,719.47,722.55,715.68,2021.02.05 16:46:04
CHF,714.55,692.5,719.57,722.65,715.68,2021.02.05 16:39:03
CHF,714.61,692.56,719.63,722.71,715.68,2021.02.05 16:38:53
CHF,714.82,692.76,719.84,722.93,715.68,2021.02.05 16:37:57
CHF,714.59,692.54,719.61,722.69,715.68,2021.02.05 16:37:04
CHF,714.62,692.57,719.64,722.72,715.68,2021.02.05 16:34:26
CHF,714.81,692.75,719.83,722.92,715.68,2021.02.05 16:32:55
CHF,714.78,692.72,719.8,722.88,715.68,2021.02.05 16:30:30
CHF,714.78,692.72,719.8,722.88,715.68,2021.02.05 16:30:03
CHF,714.89,692.83,719.91,723,715.68,2021.02.05 16:30:10
CHF,714.67,692.62,719.69,722.77,715.68,2021.02.05 16:29:44
CHF,714.48,692.43,719.5,722.58,715.68,2021.02.05 16:28:01
CHF,714.56,692.51,719.58,722.66,715.68,2021.02.05 16:26:01
CHF,714.45,692.4,719.47,722.55,715.68,2021.02.05 16:25:52
CHF,714.23,692.19,719.25,722.33,715.68,2021.02.05 16:24:16
CHF,714.34,692.3,719.36,722.44,715.68,2021.02.05 16:25:28
CHF,714.2,692.16,719.22,722.3,715.68,2021.02.05 16:24:28
CHF,714.25,692.21,719.27,722.35,715.68,2021.02.05 16:24:23
CHF,714.28,692.24,719.3,722.38,715.68,2021.02.05 16:24:10
CHF,714.18,692.14,719.2,722.28,715.68,2021.02.05 16:21:02
CHF,714.42,692.38,719.44,722.52,715.68,2021.02.05 16:20:30
CHF,714.31,692.27,719.33,722.41,715.68,2021.02.05 16:20:29
CHF,714.18,692.14,719.2,722.28,715.68,2021.02.05 16:11:51
CHF,713.61,691.59,718.63,721.71,715.68,2021.02.05 16:03:03
CHF,713.77,691.75,718.79,721.87,715.68,2021.02.05 16:01:45
CHF,713.82,691.8,718.84,721.92,715.68,2021.02.05 16:00:13
CHF,713.69,691.67,718.71,721.79,715.68,2021.02.05 15:54:57
CHF,713.69,691.67,718.71,721.79,715.68,2021.02.05 15:53:45
CHF,713.63,691.61,718.65,721.73,715.68,2021.02.05 15:53:32
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 15:52:37
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 15:49:23
CHF,713.58,691.56,718.6,721.68,715.68,2021.02.05 15:48:58
CHF,713.66,691.64,718.68,721.76,715.68,2021.02.05 15:42:15
CHF,713.66,691.64,718.68,721.76,715.68,2021.02.05 15:40:50
CHF,713.41,691.4,718.43,721.5,715.68,2021.02.05 15:36:33
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 15:32:12
CHF,713.5,691.49,718.52,721.59,715.68,2021.02.05 15:28:20
CHF,713.44,691.43,718.46,721.53,715.68,2021.02.05 15:27:46
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 15:25:26
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 15:21:22
CHF,713.66,691.64,718.68,721.76,715.68,2021.02.05 15:14:49
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 15:10:58
CHF,713.66,691.64,718.68,721.76,715.68,2021.02.05 15:08:33
CHF,713.63,691.61,718.65,721.73,715.68,2021.02.05 14:58:21
CHF,713.5,691.49,718.52,721.59,715.68,2021.02.05 14:43:55
CHF,713.52,691.51,718.54,721.62,715.68,2021.02.05 14:38:11
CHF,713.42,691.41,718.44,721.51,715.68,2021.02.05 14:32:35
CHF,713.42,691.41,718.44,721.51,715.68,2021.02.05 14:28:09
CHF,713.47,691.46,718.49,721.56,715.68,2021.02.05 14:24:47
CHF,713.42,691.41,718.44,721.51,715.68,2021.02.05 14:21:08
CHF,713.34,691.33,718.36,721.43,715.68,2021.02.05 14:20:15
CHF,713.4,691.39,718.42,721.49,715.68,2021.02.05 14:19:10
CHF,713.42,691.41,718.44,721.51,715.68,2021.02.05 14:18:45
CHF,713.36,691.35,718.38,721.45,715.68,2021.02.05 14:12:46
CHF,713.5,691.49,718.52,721.59,715.68,2021.02.05 14:06:26
CHF,713.44,691.43,718.46,721.53,715.68,2021.02.05 14:02:14
CHF,713.42,691.41,718.44,721.51,715.68,2021.02.05 14:00:32
CHF,713.47,691.46,718.49,721.56,715.68,2021.02.05 13:56:23
CHF,713.31,691.3,718.33,721.4,715.68,2021.02.05 13:54:33
CHF,713.34,691.33,718.36,721.43,715.68,2021.02.05 13:53:33
CHF,713.4,691.39,718.42,721.49,715.68,2021.02.05 13:46:35
CHF,713.4,691.39,718.42,721.49,715.68,2021.02.05 13:43:54
CHF,713.5,691.49,718.52,721.59,715.68,2021.02.05 13:40:27
CHF,713.55,691.53,718.57,721.65,715.68,2021.02.05 13:39:57
CHF,713.45,691.44,718.47,721.54,715.68,2021.02.05 13:34:55
CHF,713.35,691.34,718.37,721.44,715.68,2021.02.05 13:31:24
CHF,713.27,691.26,718.29,721.36,715.68,2021.02.05 13:22:38
CHF,713.32,691.31,718.34,721.41,715.68,2021.02.05 12:45:35
CHF,713.24,691.24,718.26,721.33,715.68,2021.02.05 12:35:51
CHF,713.27,691.26,718.29,721.36,715.68,2021.02.05 12:32:57
CHF,713.35,691.34,718.37,721.44,715.68,2021.02.05 12:24:52
CHF,713.32,691.31,718.34,721.41,715.68,2021.02.05 12:22:34
CHF,713.4,691.39,718.42,721.49,715.68,2021.02.05 12:21:25
CHF,713.38,691.37,718.4,721.47,715.68,2021.02.05 12:05:43
CHF,713.38,691.37,718.4,721.47,715.68,2021.02.05 12:01:19
CHF,713.43,691.42,718.45,721.52,715.68,2021.02.05 11:56:54
