Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 10:30:00
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 10:30:00
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 10:30:00
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 10:30:00
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 10:30:00
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 05:53:24
JPY,6.1127,5.9228,6.1576,6.1671,6.1296,2021.02.06 05:53:19
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.06 05:30:00
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.06 05:30:00
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.06 05:30:00
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.06 00:00:05
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.05 23:40:49
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.05 23:40:49
JPY,6.1081,5.9183,6.153,6.1625,6.1296,2021.02.05 23:40:49
JPY,6.1092,5.9194,6.1541,6.1636,6.1296,2021.02.05 23:29:49
JPY,6.1068,5.9171,6.1517,6.1612,6.1296,2021.02.05 23:27:34
JPY,6.1058,5.9161,6.1507,6.1602,6.1296,2021.02.05 23:24:42
JPY,6.1054,5.9157,6.1503,6.1598,6.1296,2021.02.05 23:16:21
JPY,6.1076,5.9178,6.1525,6.162,6.1296,2021.02.05 23:11:53
JPY,6.1023,5.9127,6.1472,6.1567,6.1296,2021.02.05 23:02:38
JPY,6.1044,5.9147,6.1493,6.1588,6.1296,2021.02.05 22:54:20
JPY,6.1048,5.9151,6.1497,6.1592,6.1296,2021.02.05 22:53:45
JPY,6.1069,5.9172,6.1518,6.1613,6.1296,2021.02.05 22:45:31
JPY,6.1066,5.9169,6.1515,6.161,6.1296,2021.02.05 21:51:57
JPY,6.111,5.9211,6.1559,6.1654,6.1296,2021.02.05 21:49:06
JPY,6.1092,5.9194,6.1541,6.1636,6.1296,2021.02.05 21:46:19
JPY,6.1074,5.9176,6.1523,6.1618,6.1296,2021.02.05 21:40:38
JPY,6.1032,5.9136,6.1481,6.1576,6.1296,2021.02.05 21:33:44
JPY,6.1043,5.9146,6.1492,6.1587,6.1296,2021.02.05 21:31:49
JPY,6.0991,5.9096,6.144,6.1535,6.1296,2021.02.05 20:49:09
JPY,6.0991,5.9096,6.144,6.1535,6.1296,2021.02.05 20:33:55
JPY,6.1034,5.9138,6.1483,6.1578,6.1296,2021.02.05 19:54:57
JPY,6.1053,5.9156,6.1502,6.1597,6.1296,2021.02.05 18:27:51
JPY,6.1079,5.9181,6.1528,6.1623,6.1296,2021.02.05 18:02:01
JPY,6.1083,5.9185,6.1532,6.1627,6.1296,2021.02.05 18:01:52
JPY,6.1111,5.9212,6.156,6.1655,6.1296,2021.02.05 17:51:05
JPY,6.1123,5.9224,6.1572,6.1667,6.1296,2021.02.05 17:46:23
JPY,6.114,5.924,6.1589,6.1685,6.1296,2021.02.05 17:29:03
JPY,6.1146,5.9246,6.1595,6.1691,6.1296,2021.02.05 17:26:17
JPY,6.116,5.9259,6.161,6.1705,6.1296,2021.02.05 17:25:44
JPY,6.1165,5.9264,6.1615,6.171,6.1296,2021.02.05 17:24:28
JPY,6.1165,5.9264,6.1615,6.171,6.1296,2021.02.05 17:19:37
JPY,6.1177,5.9276,6.1627,6.1722,6.1296,2021.02.05 17:16:36
JPY,6.1189,5.9287,6.1639,6.1734,6.1296,2021.02.05 17:15:41
JPY,6.12,5.9298,6.165,6.1745,6.1296,2021.02.05 17:12:59
JPY,6.12,5.9298,6.165,6.1745,6.1296,2021.02.05 17:06:54
JPY,6.1199,5.9297,6.1649,6.1744,6.1296,2021.02.05 17:06:39
JPY,6.1198,5.9296,6.1648,6.1743,6.1296,2021.02.05 17:04:28
JPY,6.1204,5.9302,6.1654,6.1749,6.1296,2021.02.05 17:03:56
JPY,6.121,5.9308,6.166,6.1755,6.1296,2021.02.05 17:02:38
JPY,6.1209,5.9307,6.1659,6.1754,6.1296,2021.02.05 16:59:45
JPY,6.1213,5.9311,6.1663,6.1758,6.1296,2021.02.05 16:59:16
JPY,6.1218,5.9315,6.1668,6.1763,6.1296,2021.02.05 16:58:18
JPY,6.1217,5.9314,6.1667,6.1762,6.1296,2021.02.05 16:57:59
JPY,6.1222,5.9319,6.1672,6.1767,6.1296,2021.02.05 16:52:39
JPY,6.1209,5.9307,6.1659,6.1754,6.1296,2021.02.05 16:47:04
JPY,6.1203,5.9301,6.1653,6.1748,6.1296,2021.02.05 16:46:04
JPY,6.1204,5.9302,6.1654,6.1749,6.1296,2021.02.05 16:39:03
JPY,6.1209,5.9307,6.1659,6.1754,6.1296,2021.02.05 16:38:53
JPY,6.1214,5.9312,6.1664,6.1759,6.1296,2021.02.05 16:37:57
JPY,6.1214,5.9312,6.1664,6.1759,6.1296,2021.02.05 16:37:04
JPY,6.1194,5.9292,6.1644,6.1739,6.1296,2021.02.05 16:34:26
JPY,6.1204,5.9302,6.1654,6.1749,6.1296,2021.02.05 16:32:55
JPY,6.1203,5.9301,6.1653,6.1748,6.1296,2021.02.05 16:30:30
JPY,6.1197,5.9295,6.1647,6.1742,6.1296,2021.02.05 16:30:03
JPY,6.1212,5.931,6.1662,6.1757,6.1296,2021.02.05 16:30:10
JPY,6.1199,5.9297,6.1649,6.1744,6.1296,2021.02.05 16:29:44
JPY,6.1195,5.9293,6.1645,6.174,6.1296,2021.02.05 16:28:01
JPY,6.1195,5.9293,6.1645,6.174,6.1296,2021.02.05 16:26:01
JPY,6.1192,5.929,6.1642,6.1737,6.1296,2021.02.05 16:25:52
JPY,6.1161,5.926,6.1611,6.1706,6.1296,2021.02.05 16:24:16
JPY,6.1182,5.9281,6.1632,6.1727,6.1296,2021.02.05 16:25:28
JPY,6.1157,5.9256,6.1606,6.1702,6.1296,2021.02.05 16:24:28
JPY,6.1156,5.9256,6.1605,6.1701,6.1296,2021.02.05 16:24:23
JPY,6.1166,5.9265,6.1616,6.1711,6.1296,2021.02.05 16:24:10
JPY,6.1165,5.9264,6.1615,6.171,6.1296,2021.02.05 16:21:02
JPY,6.117,5.9269,6.162,6.1715,6.1296,2021.02.05 16:20:30
JPY,6.1161,5.926,6.1611,6.1706,6.1296,2021.02.05 16:20:29
JPY,6.1159,5.9258,6.1609,6.1704,6.1296,2021.02.05 16:11:51
JPY,6.1154,5.9254,6.1603,6.1699,6.1296,2021.02.05 16:03:03
JPY,6.116,5.9259,6.161,6.1705,6.1296,2021.02.05 16:01:45
JPY,6.1159,5.9258,6.1609,6.1704,6.1296,2021.02.05 16:00:13
JPY,6.1149,5.9249,6.1598,6.1694,6.1296,2021.02.05 15:54:57
JPY,6.1149,5.9249,6.1598,6.1694,6.1296,2021.02.05 15:53:45
JPY,6.1144,5.9244,6.1593,6.1689,6.1296,2021.02.05 15:53:32
JPY,6.1134,5.9234,6.1583,6.1678,6.1296,2021.02.05 15:52:37
JPY,6.1134,5.9234,6.1583,6.1678,6.1296,2021.02.05 15:49:23
JPY,6.1139,5.9239,6.1588,6.1684,6.1296,2021.02.05 15:48:58
JPY,6.1145,5.9245,6.1594,6.169,6.1296,2021.02.05 15:42:15
JPY,6.1145,5.9245,6.1594,6.169,6.1296,2021.02.05 15:40:50
JPY,6.1131,5.9231,6.158,6.1675,6.1296,2021.02.05 15:36:33
JPY,6.1129,5.9229,6.1578,6.1673,6.1296,2021.02.05 15:32:12
JPY,6.1128,5.9228,6.1577,6.1672,6.1296,2021.02.05 15:28:20
JPY,6.1129,5.9229,6.1578,6.1673,6.1296,2021.02.05 15:27:46
JPY,6.1134,5.9234,6.1583,6.1678,6.1296,2021.02.05 15:25:26
JPY,6.1134,5.9234,6.1583,6.1678,6.1296,2021.02.05 15:21:22
JPY,6.1139,5.9239,6.1588,6.1684,6.1296,2021.02.05 15:14:49
JPY,6.1134,5.9234,6.1583,6.1678,6.1296,2021.02.05 15:10:58
JPY,6.1151,5.9251,6.16,6.1696,6.1296,2021.02.05 15:08:33
JPY,6.1144,5.9244,6.1593,6.1689,6.1296,2021.02.05 14:58:21
JPY,6.1128,5.9228,6.1577,6.1672,6.1296,2021.02.05 14:43:55
JPY,6.1123,5.9224,6.1572,6.1667,6.1296,2021.02.05 14:38:11
JPY,6.1122,5.9223,6.1571,6.1666,6.1296,2021.02.05 14:32:35
JPY,6.1122,5.9223,6.1571,6.1666,6.1296,2021.02.05 14:28:09
JPY,6.1126,5.9227,6.1575,6.167,6.1296,2021.02.05 14:24:47
JPY,6.1122,5.9223,6.1571,6.1666,6.1296,2021.02.05 14:21:08
JPY,6.1116,5.9217,6.1565,6.166,6.1296,2021.02.05 14:20:15
JPY,6.1121,5.9222,6.157,6.1665,6.1296,2021.02.05 14:19:10
JPY,6.1122,5.9223,6.1571,6.1666,6.1296,2021.02.05 14:18:45
JPY,6.1117,5.9218,6.1566,6.1661,6.1296,2021.02.05 14:12:46
JPY,6.1139,5.9239,6.1588,6.1684,6.1296,2021.02.05 14:06:26
JPY,6.1129,5.9229,6.1578,6.1673,6.1296,2021.02.05 14:02:14
JPY,6.1133,5.9233,6.1582,6.1677,6.1296,2021.02.05 14:00:32
JPY,6.1132,5.9232,6.1581,6.1676,6.1296,2021.02.05 13:56:23
JPY,6.1112,5.9213,6.1561,6.1656,6.1296,2021.02.05 13:54:33
JPY,6.1133,5.9233,6.1582,6.1677,6.1296,2021.02.05 13:53:33
JPY,6.1126,5.9227,6.1575,6.167,6.1296,2021.02.05 13:46:35
JPY,6.1126,5.9227,6.1575,6.167,6.1296,2021.02.05 13:43:54
JPY,6.1128,5.9228,6.1577,6.1672,6.1296,2021.02.05 13:40:27
JPY,6.1138,5.9238,6.1587,6.1682,6.1296,2021.02.05 13:39:57
JPY,6.1137,5.9237,6.1586,6.1681,6.1296,2021.02.05 13:34:55
JPY,6.113,5.923,6.1579,6.1674,6.1296,2021.02.05 13:31:24
JPY,6.1124,5.9225,6.1573,6.1668,6.1296,2021.02.05 13:22:38
JPY,6.1123,5.9224,6.1572,6.1667,6.1296,2021.02.05 12:45:35
JPY,6.1117,5.9218,6.1566,6.1661,6.1296,2021.02.05 12:35:51
JPY,6.1113,5.9214,6.1562,6.1657,6.1296,2021.02.05 12:32:57
JPY,6.113,5.923,6.1579,6.1674,6.1296,2021.02.05 12:24:52
JPY,6.1135,5.9235,6.1584,6.1679,6.1296,2021.02.05 12:22:34
JPY,6.1141,5.9241,6.159,6.1686,6.1296,2021.02.05 12:21:25
JPY,6.1145,5.9245,6.1594,6.169,6.1296,2021.02.05 12:05:43
JPY,6.114,5.924,6.1589,6.1685,6.1296,2021.02.05 12:01:19
JPY,6.1144,5.9244,6.1593,6.1689,6.1296,2021.02.05 11:56:54
JPY,6.1149,5.9249,6.1598,6.1694,6.1296,2021.02.05 11:53:08
JPY,6.1139,5.9239,6.1588,6.1684,6.1296,2021.02.05 11:36:13
JPY,6.1155,5.9255,6.1604,6.17,6.1296,2021.02.05 11:29:20
JPY,6.1155,5.9255,6.1604,6.17,6.1296,2021.02.05 11:28:23
JPY,6.1153,5.9253,6.1602,6.1698,6.1296,2021.02.05 11:25:46
JPY,6.1159,5.9258,6.1609,6.1704,6.1296,2021.02.05 11:24:40
JPY,6.1159,5.9258,6.1609,6.1704,6.1296,2021.02.05 11:22:50
JPY,6.1163,5.9262,6.1613,6.1708,6.1296,2021.02.05 11:21:52
JPY,6.1163,5.9262,6.1613,6.1708,6.1296,2021.02.05 11:09:57
JPY,6.1168,5.9267,6.1618,6.1713,6.1296,2021.02.05 11:07:13
JPY,6.1182,5.9281,6.1632,6.1727,6.1296,2021.02.05 11:02:50
JPY,6.1172,5.9271,6.1622,6.1717,6.1296,2021.02.05 11:00:56
JPY,6.1173,5.9272,6.1623,6.1718,6.1296,2021.02.05 11:00:14
JPY,6.1169,5.9268,6.1619,6.1714,6.1296,2021.02.05 10:59:50
JPY,6.116,5.9259,6.161,6.1705,6.1296,2021.02.05 10:59:17
JPY,6.115,5.925,6.1599,6.1695,6.1296,2021.02.05 10:58:37
JPY,6.1154,5.9254,6.1603,6.1699,6.1296,2021.02.05 10:53:25
JPY,6.1149,5.9249,6.1598,6.1694,6.1296,2021.02.05 10:52:50
JPY,6.114,5.924,6.1589,6.1685,6.1296,2021.02.05 10:51:23
JPY,6.1149,5.9249,6.1598,6.1694,6.1296,2021.02.05 10:43:56
JPY,6.115,5.925,6.1599,6.1695,6.1296,2021.02.05 10:42:52
JPY,6.115,5.925,6.1599,6.1695,6.1296,2021.02.05 10:40:30
JPY,6.1155,5.9255,6.1604,6.17,6.1296,2021.02.05 10:40:17
JPY,6.1163,5.9262,6.1613,6.1708,6.1296,2021.02.05 10:34:16
JPY,6.1151,5.9251,6.16,6.1696,6.1296,2021.02.05 10:32:12
JPY,6.1171,5.927,6.1621,6.1716,6.1296,2021.02.05 10:30:00
