Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 10:30:00
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 10:30:00
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 10:30:00
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 10:30:00
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 10:30:00
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 05:53:24
NZD,463.91,449.6,467.17,473.59,463.42,2021.02.06 05:53:19
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.06 05:30:00
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.06 05:30:00
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.06 05:30:00
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.06 00:00:05
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.05 23:40:49
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.05 23:40:49
NZD,463.39,449.09,466.65,473.06,463.42,2021.02.05 23:40:49
NZD,463.26,448.97,466.52,472.93,463.42,2021.02.05 23:29:49
NZD,463.18,448.89,466.44,472.85,463.42,2021.02.05 23:27:34
NZD,462.98,448.7,466.24,472.65,463.42,2021.02.05 23:24:42
NZD,462.78,448.5,466.04,472.44,463.42,2021.02.05 23:16:21
NZD,463.3,449.01,466.56,472.97,463.42,2021.02.05 23:11:53
NZD,462.66,448.39,465.92,472.32,463.42,2021.02.05 23:02:38
NZD,462.99,448.71,466.25,472.66,463.42,2021.02.05 22:54:20
NZD,463,448.72,466.26,472.67,463.42,2021.02.05 22:53:45
NZD,463.13,448.84,466.39,472.8,463.42,2021.02.05 22:45:31
NZD,462.28,448.01,465.52,471.93,463.42,2021.02.05 21:51:57
NZD,462.48,448.2,465.72,472.13,463.42,2021.02.05 21:49:06
NZD,462.26,447.99,465.5,471.91,463.42,2021.02.05 21:46:19
NZD,462,447.74,465.24,471.64,463.42,2021.02.05 21:40:38
NZD,461.36,447.12,464.6,470.99,463.42,2021.02.05 21:33:44
