Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 10:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 10:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 10:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 10:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 10:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 05:53:24
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 05:53:19
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 05:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 05:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 05:30:00
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.06 00:00:05
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 23:40:49
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 23:40:49
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 23:40:49
RUB,8.62,8.09,8.68,9.01,8.57,2021.02.05 23:29:49
RUB,8.62,8.09,8.68,9.01,8.57,2021.02.05 23:27:34
RUB,8.62,8.09,8.68,9.01,8.57,2021.02.05 23:24:42
RUB,8.62,8.09,8.68,9.01,8.57,2021.02.05 23:16:21
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 23:11:53
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 23:02:38
RUB,8.64,8.11,8.7,9.03,8.57,2021.02.05 22:54:20
RUB,8.64,8.11,8.7,9.03,8.57,2021.02.05 22:53:45
RUB,8.64,8.11,8.7,9.03,8.57,2021.02.05 22:45:31
RUB,8.64,8.11,8.7,9.03,8.57,2021.02.05 21:51:57
RUB,8.65,8.12,8.71,9.04,8.57,2021.02.05 21:49:06
RUB,8.64,8.11,8.7,9.03,8.57,2021.02.05 21:46:19
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 21:40:38
RUB,8.64,8.11,8.7,9.03,8.57,2021.02.05 21:33:44
RUB,8.63,8.1,8.69,9.02,8.57,2021.02.05 21:31:49
RUB,8.61,8.08,8.67,9,8.57,2021.02.05 20:49:09
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 20:33:55
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 19:54:57
RUB,8.58,8.05,8.64,8.97,8.57,2021.02.05 18:27:51
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 18:02:01
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 18:01:52
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 17:51:05
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:46:23
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:29:03
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:26:17
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:25:44
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:24:28
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 17:19:37
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:16:36
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 17:15:41
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:12:59
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 17:06:54
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 17:06:39
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:04:28
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:03:56
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 17:02:38
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:59:45
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:59:16
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:58:18
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:57:59
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:52:39
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:47:04
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 16:46:04
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:39:03
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:38:53
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:37:57
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:37:04
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:34:26
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:32:55
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:30:30
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:30:03
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:30:10
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:29:44
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:28:01
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:26:01
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:25:52
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:24:16
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:25:28
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:24:28
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:24:23
RUB,8.61,8.08,8.67,9,8.57,2021.02.05 16:24:10
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:21:02
RUB,8.61,8.08,8.67,9,8.57,2021.02.05 16:20:30
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:20:29
RUB,8.61,8.08,8.67,9,8.57,2021.02.05 16:11:51
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:03:03
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:01:45
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 16:00:13
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:54:57
RUB,8.6,8.07,8.66,8.99,8.57,2021.02.05 15:53:45
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:53:32
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:52:37
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:49:23
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:48:58
RUB,8.58,8.05,8.64,8.97,8.57,2021.02.05 15:42:15
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:40:50
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:36:33
RUB,8.59,8.06,8.65,8.98,8.57,2021.02.05 15:32:12
RUB,8.58,8.05,8.64,8.97,8.57,2021.02.05 15:28:20
RUB,8.58,8.05,8.64,8.97,8.57,2021.02.05 15:27:46
RUB,8.58,8.05,8.64,8.97,8.57,2021.02.05 15:25:26
RUB,8.57,8.04,8.63,8.96,8.57,2021.02.05 15:21:22
RUB,8.57,8.04,8.63,8.96,8.57,2021.02.05 15:14:49
RUB,8.57,8.04,8.63,8.96,8.57,2021.02.05 15:10:58
RUB,8.57,8.04,8.63,8.96,8.57,2021.02.05 15:08:33
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 14:58:21
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:43:55
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:38:11
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:32:35
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:28:09
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 14:24:47
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:21:08
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:20:15
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 14:19:10
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:18:45
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:12:46
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:06:26
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 14:02:14
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 14:00:32
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:56:23
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:54:33
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:53:33
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:46:35
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:43:54
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:40:27
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:39:57
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 13:34:55
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:31:24
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 13:22:38
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:45:35
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:35:51
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:32:57
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:24:52
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:22:34
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:21:25
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:05:43
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 12:01:19
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:56:54
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:53:08
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 11:36:13
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:29:20
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:28:23
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 11:25:46
RUB,8.55,8.02,8.61,8.94,8.57,2021.02.05 11:24:40
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:22:50
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:21:52
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 11:09:57
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:07:13
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:02:50
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:00:56
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 11:00:14
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:59:50
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:59:17
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 10:58:37
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:53:25
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:52:50
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:51:23
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:43:56
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:42:52
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:40:30
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:40:17
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:34:16
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:32:12
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:30:00
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:30:00
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:30:00
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:29:09
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:27:14
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:24:25
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:23:39
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:23:30
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:22:19
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:18:29
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:15:56
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:13:27
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:11:45
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:11:45
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:10:17
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:10:17
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:08:59
RUB,8.54,8.01,8.6,8.93,8.57,2021.02.05 10:05:25
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 10:04:22
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 10:02:43
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:55:29
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:51:48
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:50:40
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:49:42
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:49:27
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:48:05
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:47:56
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:41:29
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:39:58
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:36:17
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:34:45
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:34:00
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:32:46
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:31:29
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:21:18
RUB,8.53,8,8.59,8.92,8.57,2021.02.05 09:21:08
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 09:18:23
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 09:08:32
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 08:39:49
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 08:33:13
RUB,8.54,8.01,8.6,8.93,8.52,2021.02.05 07:56:49
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 07:32:45
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 07:01:53
RUB,8.53,8,8.59,8.92,8.52,2021.02.05 07:01:49
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.05 05:30:00
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.05 05:30:00
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.05 05:30:00
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.05 00:00:05
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 23:57:48
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 23:57:48
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 23:57:48
RUB,8.53,8,8.59,8.92,8.52,2021.02.04 23:24:36
RUB,8.54,8.01,8.6,8.93,8.52,2021.02.04 23:08:43
RUB,8.54,8.01,8.6,8.93,8.52,2021.02.04 23:01:59
RUB,8.53,8,8.59,8.92,8.52,2021.02.04 22:55:25
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 22:45:08
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 22:41:52
RUB,8.53,8,8.59,8.92,8.52,2021.02.04 22:26:22
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 22:18:56
RUB,8.51,7.98,8.57,8.9,8.52,2021.02.04 22:13:45
RUB,8.51,7.98,8.57,8.9,8.52,2021.02.04 22:01:51
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 21:38:11
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 21:12:41
RUB,8.52,7.99,8.58,8.91,8.52,2021.02.04 20:59:06
