Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SAR,,167.54,,177.12,172.46,2021.02.06 10:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 10:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 10:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 10:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 10:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 05:53:24
SAR,,167.54,,177.12,172.46,2021.02.06 05:53:19
SAR,,167.54,,177.12,172.46,2021.02.06 05:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 05:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 05:30:00
SAR,,167.54,,177.12,172.46,2021.02.06 00:00:05
SAR,,167.54,,177.12,172.46,2021.02.05 23:40:49
SAR,,167.54,,177.12,172.46,2021.02.05 23:40:49
SAR,,167.54,,177.12,172.46,2021.02.05 23:40:49
SAR,,167.54,,177.12,172.46,2021.02.05 23:29:49
SAR,,167.48,,177.06,172.46,2021.02.05 23:27:34
SAR,,167.46,,177.04,172.46,2021.02.05 23:24:42
SAR,,167.43,,177.01,172.46,2021.02.05 23:16:21
SAR,,167.46,,177.04,172.46,2021.02.05 23:11:53
SAR,,167.46,,177.04,172.46,2021.02.05 23:02:38
SAR,,167.48,,177.06,172.46,2021.02.05 22:54:20
SAR,,167.51,,177.09,172.46,2021.02.05 22:53:45
SAR,,167.54,,177.12,172.46,2021.02.05 22:45:31
SAR,,167.58,,177.16,172.46,2021.02.05 21:51:57
SAR,,167.6,,177.18,172.46,2021.02.05 21:49:06
SAR,,167.62,,177.2,172.46,2021.02.05 21:46:19
SAR,,167.62,,177.2,172.46,2021.02.05 21:40:38
SAR,,167.64,,177.22,172.46,2021.02.05 21:33:44
SAR,,167.64,,177.22,172.46,2021.02.05 21:31:49
SAR,,167.64,,177.22,172.46,2021.02.05 20:49:09
SAR,,167.64,,177.22,172.46,2021.02.05 20:33:55
SAR,,167.61,,177.19,172.46,2021.02.05 19:54:57
SAR,,167.59,,177.17,172.46,2021.02.05 18:27:51
SAR,,167.56,,177.14,172.46,2021.02.05 18:02:01
SAR,,167.58,,177.16,172.46,2021.02.05 18:01:52
SAR,,167.59,,177.17,172.46,2021.02.05 17:51:05
SAR,,167.59,,177.17,172.46,2021.02.05 17:46:23
SAR,,167.59,,177.17,172.46,2021.02.05 17:29:03
SAR,,167.59,,177.17,172.46,2021.02.05 17:26:17
SAR,,167.63,,177.21,172.46,2021.02.05 17:25:44
SAR,,167.64,,177.22,172.46,2021.02.05 17:24:28
SAR,,167.64,,177.22,172.46,2021.02.05 17:19:37
SAR,,167.64,,177.22,172.46,2021.02.05 17:16:36
SAR,,167.64,,177.22,172.46,2021.02.05 17:15:41
SAR,,167.64,,177.22,172.46,2021.02.05 17:12:59
SAR,,167.64,,177.22,172.46,2021.02.05 17:06:54
SAR,,167.65,,177.23,172.46,2021.02.05 17:06:39
SAR,,167.67,,177.25,172.46,2021.02.05 17:04:28
SAR,,167.67,,177.25,172.46,2021.02.05 17:03:56
SAR,,167.67,,177.25,172.46,2021.02.05 17:02:38
SAR,,167.68,,177.26,172.46,2021.02.05 16:59:45
SAR,,167.69,,177.27,172.46,2021.02.05 16:59:16
SAR,,167.7,,177.3,172.46,2021.02.05 16:58:18
SAR,,167.71,,177.31,172.46,2021.02.05 16:57:59
