Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SEK,76.91,74.54,77.53,77.9,76.51,2021.02.06 10:30:00
SEK,76.91,74.54,77.53,77.9,76.51,2021.02.06 10:30:00
SEK,76.91,74.54,77.53,77.9,76.51,2021.02.06 10:30:00
SEK,76.91,74.54,77.53,77.9,76.51,2021.02.06 10:30:00
SEK,76.91,74.54,77.53,77.9,76.51,2021.02.06 10:30:00
SEK,76.91,74.54,77.53,77.9,76.51,2021.02.06 05:53:24
SEK,76.9,74.53,77.52,77.89,76.51,2021.02.06 05:53:19
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.06 05:30:00
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.06 05:30:00
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.06 05:30:00
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.06 00:00:05
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.05 23:40:49
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.05 23:40:49
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.05 23:40:49
SEK,76.66,74.3,77.28,77.65,76.51,2021.02.05 23:29:49
SEK,76.63,74.27,77.25,77.62,76.51,2021.02.05 23:27:34
SEK,76.59,74.23,77.21,77.58,76.51,2021.02.05 23:24:42
SEK,76.58,74.22,77.2,77.57,76.51,2021.02.05 23:16:21
SEK,76.71,74.34,77.33,77.7,76.51,2021.02.05 23:11:53
SEK,76.62,74.26,77.24,77.61,76.51,2021.02.05 23:02:38
SEK,76.66,74.3,77.28,77.65,76.51,2021.02.05 22:54:20
SEK,76.66,74.3,77.28,77.65,76.51,2021.02.05 22:53:45
SEK,76.61,74.25,77.23,77.6,76.51,2021.02.05 22:45:31
SEK,76.53,74.17,77.15,77.52,76.51,2021.02.05 21:51:57
SEK,76.58,74.22,77.2,77.57,76.51,2021.02.05 21:49:06
SEK,76.5,74.14,77.12,77.49,76.51,2021.02.05 21:46:19
SEK,76.44,74.08,77.06,77.43,76.51,2021.02.05 21:40:38
SEK,76.34,73.99,76.96,77.32,76.51,2021.02.05 21:33:44
SEK,76.36,74.01,76.98,77.34,76.51,2021.02.05 21:31:49
SEK,76.32,73.97,76.94,77.3,76.51,2021.02.05 20:49:09
SEK,76.38,74.03,77,77.36,76.51,2021.02.05 20:33:55
SEK,76.27,73.92,76.89,77.25,76.51,2021.02.05 19:54:57
SEK,76.19,73.84,76.81,77.17,76.51,2021.02.05 18:27:51
SEK,76.26,73.91,76.88,77.24,76.51,2021.02.05 18:02:01
SEK,76.26,73.91,76.88,77.24,76.51,2021.02.05 18:01:52
SEK,76.31,73.96,76.93,77.29,76.51,2021.02.05 17:51:05
SEK,76.3,73.95,76.92,77.28,76.51,2021.02.05 17:46:23
SEK,76.32,73.97,76.94,77.3,76.51,2021.02.05 17:29:03
SEK,76.31,73.96,76.93,77.29,76.51,2021.02.05 17:26:17
SEK,76.34,73.99,76.96,77.32,76.51,2021.02.05 17:25:44
SEK,76.34,73.99,76.96,77.32,76.51,2021.02.05 17:24:28
SEK,76.29,73.94,76.91,77.27,76.51,2021.02.05 17:19:37
SEK,76.29,73.94,76.91,77.27,76.51,2021.02.05 17:16:36
SEK,76.3,73.95,76.92,77.28,76.51,2021.02.05 17:15:41
SEK,76.32,73.97,76.94,77.3,76.51,2021.02.05 17:12:59
SEK,76.3,73.95,76.92,77.28,76.51,2021.02.05 17:06:54
SEK,76.31,73.96,76.93,77.29,76.51,2021.02.05 17:06:39
SEK,76.32,73.97,76.94,77.3,76.51,2021.02.05 17:04:28
SEK,76.32,73.97,76.94,77.3,76.51,2021.02.05 17:03:56
SEK,76.34,73.99,76.96,77.32,76.51,2021.02.05 17:02:38
SEK,76.32,73.97,76.94,77.3,76.51,2021.02.05 16:59:45
SEK,76.34,73.99,76.96,77.32,76.51,2021.02.05 16:59:16
SEK,76.35,74,76.97,77.33,76.51,2021.02.05 16:58:18
SEK,76.36,74.01,76.98,77.34,76.51,2021.02.05 16:57:59
SEK,76.34,73.99,76.96,77.32,76.51,2021.02.05 16:52:39
SEK,76.31,73.96,76.93,77.29,76.51,2021.02.05 16:47:04
SEK,76.3,73.95,76.92,77.28,76.51,2021.02.05 16:46:04
