Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 10:30:00
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 10:30:00
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 10:30:00
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 10:30:00
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 10:30:00
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 05:53:24
TRY,91.24,86.77,91.98,105.61,90.66,2021.02.06 05:53:19
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.06 05:30:00
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.06 05:30:00
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.06 05:30:00
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.06 00:00:05
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.05 23:40:49
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.05 23:40:49
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.05 23:40:49
TRY,91.35,86.88,92.09,105.73,90.66,2021.02.05 23:29:49
TRY,91.35,86.88,92.09,105.73,90.66,2021.02.05 23:27:34
TRY,91.37,86.9,92.11,105.76,90.66,2021.02.05 23:24:42
TRY,91.39,86.92,92.13,105.78,90.66,2021.02.05 23:16:21
TRY,91.5,87.02,92.24,105.91,90.66,2021.02.05 23:11:53
TRY,91.4,86.92,92.14,105.79,90.66,2021.02.05 23:02:38
TRY,91.35,86.88,92.09,105.73,90.66,2021.02.05 22:54:20
TRY,91.38,86.91,92.12,105.77,90.66,2021.02.05 22:53:45
TRY,91.38,86.91,92.12,105.77,90.66,2021.02.05 22:45:31
TRY,91.32,86.85,92.06,105.7,90.66,2021.02.05 21:51:57
TRY,91.41,86.93,92.15,105.8,90.66,2021.02.05 21:49:06
TRY,91.32,86.85,92.06,105.7,90.66,2021.02.05 21:46:19
TRY,91.27,86.8,92.01,105.64,90.66,2021.02.05 21:40:38
TRY,91.12,86.66,91.86,105.47,90.66,2021.02.05 21:33:44
TRY,91.14,86.68,91.88,105.49,90.66,2021.02.05 21:31:49
TRY,91.19,86.73,91.93,105.55,90.66,2021.02.05 20:49:09
TRY,91.1,86.64,91.84,105.45,90.66,2021.02.05 20:33:55
TRY,91.05,86.59,91.79,105.39,90.66,2021.02.05 19:54:57
TRY,90.82,86.37,91.54,105.11,90.66,2021.02.05 18:27:51
TRY,90.9,86.45,91.64,105.22,90.66,2021.02.05 18:02:01
TRY,90.9,86.45,91.64,105.22,90.66,2021.02.05 18:01:52
TRY,90.81,86.36,91.53,105.1,90.66,2021.02.05 17:51:05
TRY,90.8,86.35,91.52,105.09,90.66,2021.02.05 17:46:23
TRY,90.86,86.4,91.58,105.16,90.66,2021.02.05 17:29:03
TRY,90.86,86.4,91.58,105.16,90.66,2021.02.05 17:26:17
TRY,90.89,86.43,91.62,105.19,90.66,2021.02.05 17:25:44
TRY,90.91,86.46,91.65,105.23,90.66,2021.02.05 17:24:28
TRY,90.94,86.49,91.68,105.26,90.66,2021.02.05 17:19:37
TRY,91.01,86.56,91.75,105.34,90.66,2021.02.05 17:16:36
TRY,90.95,86.5,91.69,105.27,90.66,2021.02.05 17:15:41
TRY,90.98,86.53,91.72,105.31,90.66,2021.02.05 17:12:59
TRY,90.93,86.48,91.67,105.25,90.66,2021.02.05 17:06:54
TRY,90.94,86.49,91.68,105.26,90.66,2021.02.05 17:06:39
TRY,90.87,86.41,91.59,105.17,90.66,2021.02.05 17:04:28
TRY,90.87,86.41,91.59,105.17,90.66,2021.02.05 17:03:56
TRY,90.96,86.51,91.7,105.29,90.66,2021.02.05 17:02:38
TRY,91.08,86.62,91.82,105.42,90.66,2021.02.05 16:59:45
TRY,91.09,86.63,91.83,105.44,90.66,2021.02.05 16:59:16
TRY,91.08,86.62,91.82,105.42,90.66,2021.02.05 16:58:18
TRY,91.11,86.65,91.85,105.46,90.66,2021.02.05 16:57:59
TRY,91.07,86.61,91.81,105.41,90.66,2021.02.05 16:52:39
TRY,91.02,86.56,91.76,105.35,90.66,2021.02.05 16:47:04
TRY,90.96,86.51,91.7,105.29,90.66,2021.02.05 16:46:04
TRY,90.94,86.49,91.68,105.26,90.66,2021.02.05 16:39:03
TRY,90.94,86.49,91.68,105.26,90.66,2021.02.05 16:38:53
TRY,90.92,86.47,91.66,105.24,90.66,2021.02.05 16:37:57
TRY,90.92,86.47,91.66,105.24,90.66,2021.02.05 16:37:04
TRY,90.92,86.47,91.66,105.24,90.66,2021.02.05 16:34:26
TRY,90.92,86.47,91.66,105.24,90.66,2021.02.05 16:32:55
TRY,90.93,86.48,91.67,105.25,90.66,2021.02.05 16:30:30
TRY,90.93,86.48,91.67,105.25,90.66,2021.02.05 16:30:03
TRY,90.96,86.51,91.7,105.29,90.66,2021.02.05 16:30:10
TRY,90.94,86.49,91.68,105.26,90.66,2021.02.05 16:29:44
TRY,90.91,86.46,91.65,105.23,90.66,2021.02.05 16:28:01
TRY,90.92,86.47,91.66,105.24,90.66,2021.02.05 16:26:01
TRY,90.91,86.46,91.65,105.23,90.66,2021.02.05 16:25:52
TRY,90.9,86.45,91.64,105.22,90.66,2021.02.05 16:24:16
TRY,90.89,86.44,91.63,105.2,90.66,2021.02.05 16:25:28
TRY,90.88,86.42,91.6,105.18,90.66,2021.02.05 16:24:28
TRY,90.89,86.43,91.62,105.19,90.66,2021.02.05 16:24:23
TRY,90.9,86.45,91.64,105.22,90.66,2021.02.05 16:24:10
TRY,90.87,86.41,91.59,105.17,90.66,2021.02.05 16:21:02
TRY,90.86,86.4,91.58,105.16,90.66,2021.02.05 16:20:30
TRY,90.85,86.39,91.57,105.15,90.66,2021.02.05 16:20:29
TRY,90.84,86.38,91.56,105.14,90.66,2021.02.05 16:11:51
TRY,90.88,86.42,91.6,105.18,90.66,2021.02.05 16:03:03
TRY,90.78,86.33,91.5,105.07,90.66,2021.02.05 16:01:45
TRY,90.75,86.3,91.47,105.03,90.66,2021.02.05 16:00:13
TRY,90.76,86.31,91.48,105.04,90.66,2021.02.05 15:54:57
TRY,90.83,86.38,91.55,105.12,90.66,2021.02.05 15:53:45
TRY,90.84,86.38,91.56,105.14,90.66,2021.02.05 15:53:32
TRY,90.84,86.38,91.56,105.14,90.66,2021.02.05 15:52:37
TRY,90.85,86.39,91.57,105.15,90.66,2021.02.05 15:49:23
TRY,90.85,86.39,91.57,105.15,90.66,2021.02.05 15:48:58
TRY,90.82,86.37,91.54,105.11,90.66,2021.02.05 15:42:15
TRY,90.77,86.32,91.49,105.05,90.66,2021.02.05 15:40:50
TRY,90.68,86.23,91.4,104.95,90.66,2021.02.05 15:36:33
TRY,90.55,86.11,91.27,104.8,90.66,2021.02.05 15:32:12
TRY,90.48,86.04,91.2,104.72,90.66,2021.02.05 15:28:20
TRY,90.47,86.03,91.19,104.71,90.66,2021.02.05 15:27:46
TRY,90.51,86.07,91.23,104.75,90.66,2021.02.05 15:25:26
TRY,90.38,85.95,91.1,104.61,90.66,2021.02.05 15:21:22
TRY,90.42,85.99,91.14,104.65,90.66,2021.02.05 15:14:49
TRY,90.43,86,91.15,104.66,90.66,2021.02.05 15:10:58
TRY,90.47,86.03,91.19,104.71,90.66,2021.02.05 15:08:33
TRY,90.48,86.04,91.2,104.72,90.66,2021.02.05 14:58:21
TRY,90.34,85.91,91.06,104.56,90.66,2021.02.05 14:43:55
TRY,90.3,85.87,91.02,104.51,90.66,2021.02.05 14:38:11
TRY,90.3,85.87,91.02,104.51,90.66,2021.02.05 14:32:35
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 14:28:09
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 14:24:47
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 14:21:08
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 14:20:15
TRY,90.29,85.86,91.01,104.5,90.66,2021.02.05 14:19:10
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 14:18:45
TRY,90.25,85.83,90.97,104.46,90.66,2021.02.05 14:12:46
TRY,90.26,85.84,90.98,104.47,90.66,2021.02.05 14:06:26
TRY,90.25,85.83,90.97,104.46,90.66,2021.02.05 14:02:14
TRY,90.27,85.84,90.99,104.48,90.66,2021.02.05 14:00:32
TRY,90.29,85.86,91.01,104.5,90.66,2021.02.05 13:56:23
TRY,90.27,85.84,90.99,104.48,90.66,2021.02.05 13:54:33
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 13:53:33
TRY,90.26,85.84,90.98,104.47,90.66,2021.02.05 13:46:35
TRY,90.26,85.84,90.98,104.47,90.66,2021.02.05 13:43:54
TRY,90.26,85.84,90.98,104.47,90.66,2021.02.05 13:40:27
TRY,90.26,85.84,90.98,104.47,90.66,2021.02.05 13:39:57
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 13:34:55
TRY,90.28,85.85,91,104.49,90.66,2021.02.05 13:31:24
TRY,90.27,85.84,90.99,104.48,90.66,2021.02.05 13:22:38
TRY,90.25,85.83,90.97,104.46,90.66,2021.02.05 12:45:35
TRY,90.25,85.83,90.97,104.46,90.66,2021.02.05 12:35:51
TRY,90.25,85.83,90.97,104.46,90.66,2021.02.05 12:32:57
