Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
TWD,,22.3,,24.16,,2021.02.06 10:30:00
TWD,,22.3,,24.16,,2021.02.06 10:30:00
TWD,,22.3,,24.16,,2021.02.06 10:30:00
TWD,,22.3,,24.16,,2021.02.06 10:30:00
TWD,,22.3,,24.16,,2021.02.06 10:30:00
TWD,,22.3,,24.16,,2021.02.06 05:53:24
TWD,,22.29,,24.15,,2021.02.06 05:53:19
TWD,,22.31,,24.17,,2021.02.06 05:30:00
TWD,,22.31,,24.17,,2021.02.06 05:30:00
TWD,,22.31,,24.17,,2021.02.06 05:30:00
TWD,,22.31,,24.17,,2021.02.06 00:00:05
TWD,,22.31,,24.17,,2021.02.05 23:40:49
TWD,,22.31,,24.17,,2021.02.05 23:40:49
TWD,,22.31,,24.17,,2021.02.05 23:40:49
TWD,,22.31,,24.17,,2021.02.05 23:29:49
TWD,,22.3,,24.16,,2021.02.05 23:27:34
TWD,,22.29,,24.15,,2021.02.05 23:24:42
TWD,,22.29,,24.15,,2021.02.05 23:16:21
TWD,,22.3,,24.16,,2021.02.05 23:11:53
TWD,,22.29,,24.15,,2021.02.05 23:02:38
TWD,,22.3,,24.16,,2021.02.05 22:54:20
TWD,,22.3,,24.16,,2021.02.05 22:53:45
TWD,,22.3,,24.16,,2021.02.05 22:45:31
TWD,,22.31,,24.17,,2021.02.05 21:51:57
TWD,,22.31,,24.17,,2021.02.05 21:49:06
TWD,,22.31,,24.17,,2021.02.05 21:46:19
TWD,,22.31,,24.17,,2021.02.05 21:40:38
TWD,,22.31,,24.17,,2021.02.05 21:33:44
TWD,,22.31,,24.17,,2021.02.05 21:31:49
TWD,,22.3,,24.16,,2021.02.05 20:49:09
TWD,,22.3,,24.16,,2021.02.05 20:33:55
TWD,,22.3,,24.16,,2021.02.05 19:54:57
TWD,,22.29,,24.15,,2021.02.05 18:27:51
TWD,,22.3,,24.16,,2021.02.05 18:02:01
TWD,,22.3,,24.16,,2021.02.05 18:01:52
TWD,,22.3,,24.16,,2021.02.05 17:51:05
TWD,,22.3,,24.16,,2021.02.05 17:46:23
TWD,,22.31,,24.17,,2021.02.05 17:29:03
TWD,,22.3,,24.16,,2021.02.05 17:26:17
TWD,,22.31,,24.17,,2021.02.05 17:25:44
TWD,,22.31,,24.17,,2021.02.05 17:24:28
TWD,,22.3,,24.16,,2021.02.05 17:19:37
TWD,,22.3,,24.16,,2021.02.05 17:16:36
TWD,,22.31,,24.17,,2021.02.05 17:15:41
TWD,,22.31,,24.17,,2021.02.05 17:12:59
TWD,,22.31,,24.17,,2021.02.05 17:06:54
TWD,,22.31,,24.17,,2021.02.05 17:06:39
TWD,,22.32,,24.18,,2021.02.05 17:04:28
TWD,,22.32,,24.18,,2021.02.05 17:03:56
TWD,,22.31,,24.17,,2021.02.05 17:02:38
TWD,,22.31,,24.17,,2021.02.05 16:59:45
TWD,,22.31,,24.17,,2021.02.05 16:59:16
TWD,,22.32,,24.18,,2021.02.05 16:58:18
TWD,,22.31,,24.17,,2021.02.05 16:57:59
TWD,,22.31,,24.17,,2021.02.05 16:52:39
TWD,,22.33,,24.19,,2021.02.05 16:47:04
TWD,,22.32,,24.18,,2021.02.05 16:46:04
TWD,,22.32,,24.18,,2021.02.05 16:39:03
TWD,,22.33,,24.19,,2021.02.05 16:38:53
TWD,,22.33,,24.19,,2021.02.05 16:37:57
TWD,,22.33,,24.19,,2021.02.05 16:37:04
TWD,,22.33,,24.19,,2021.02.05 16:34:26
TWD,,22.32,,24.18,,2021.02.05 16:32:55
TWD,,22.36,,24.23,,2021.02.05 16:30:30
TWD,,22.34,,24.2,,2021.02.05 16:30:03
TWD,,22.35,,24.21,,2021.02.05 16:30:10
TWD,,22.34,,24.2,,2021.02.05 16:29:44
TWD,,22.33,,24.19,,2021.02.05 16:28:01
TWD,,22.33,,24.19,,2021.02.05 16:26:01
TWD,,22.32,,24.18,,2021.02.05 16:25:52
TWD,,22.31,,24.17,,2021.02.05 16:24:16
TWD,,22.33,,24.19,,2021.02.05 16:25:28
TWD,,22.32,,24.18,,2021.02.05 16:24:28
TWD,,22.32,,24.18,,2021.02.05 16:24:23
TWD,,22.33,,24.19,,2021.02.05 16:24:10
TWD,,22.33,,24.19,,2021.02.05 16:21:02
TWD,,22.33,,24.19,,2021.02.05 16:20:30
TWD,,22.33,,24.19,,2021.02.05 16:20:29
TWD,,22.32,,24.18,,2021.02.05 16:11:51
TWD,,22.33,,24.19,,2021.02.05 16:03:03
TWD,,22.33,,24.19,,2021.02.05 16:01:45
TWD,,22.33,,24.19,,2021.02.05 16:00:13
TWD,,22.33,,24.19,,2021.02.05 15:54:57
TWD,,22.33,,24.19,,2021.02.05 15:53:45
TWD,,22.33,,24.19,,2021.02.05 15:53:32
TWD,,22.32,,24.18,,2021.02.05 15:52:37
TWD,,22.32,,24.18,,2021.02.05 15:49:23
TWD,,22.32,,24.18,,2021.02.05 15:48:58
TWD,,22.33,,24.19,,2021.02.05 15:42:15
TWD,,22.33,,24.19,,2021.02.05 15:40:50
TWD,,22.31,,24.17,,2021.02.05 15:36:33
TWD,,22.33,,24.19,,2021.02.05 15:32:12
TWD,,22.33,,24.19,,2021.02.05 15:28:20
TWD,,22.33,,24.19,,2021.02.05 15:27:46
TWD,,22.33,,24.19,,2021.02.05 15:25:26
TWD,,22.33,,24.19,,2021.02.05 15:21:22
TWD,,22.32,,24.18,,2021.02.05 15:14:49
TWD,,22.32,,24.18,,2021.02.05 15:10:58
TWD,,22.33,,24.19,,2021.02.05 15:08:33
TWD,,22.33,,24.19,,2021.02.05 14:58:21
TWD,,22.33,,24.19,,2021.02.05 14:43:55
TWD,,22.34,,24.2,,2021.02.05 14:38:11
TWD,,22.34,,24.2,,2021.02.05 14:32:35
TWD,,22.34,,24.2,,2021.02.05 14:28:09
TWD,,22.33,,24.19,,2021.02.05 14:24:47
TWD,,22.34,,24.2,,2021.02.05 14:21:08
TWD,,22.34,,24.2,,2021.02.05 14:20:15
TWD,,22.34,,24.2,,2021.02.05 14:19:10
TWD,,22.34,,24.2,,2021.02.05 14:18:45
TWD,,22.34,,24.2,,2021.02.05 14:12:46
TWD,,22.34,,24.2,,2021.02.05 14:06:26
TWD,,22.34,,24.2,,2021.02.05 14:02:14
TWD,,22.34,,24.2,,2021.02.05 14:00:32
TWD,,22.34,,24.2,,2021.02.05 13:56:23
TWD,,22.33,,24.19,,2021.02.05 13:54:33
TWD,,22.34,,24.2,,2021.02.05 13:53:33
TWD,,22.34,,24.2,,2021.02.05 13:46:35
TWD,,22.34,,24.2,,2021.02.05 13:43:54
TWD,,22.34,,24.2,,2021.02.05 13:40:27
TWD,,22.34,,24.2,,2021.02.05 13:39:57
TWD,,22.34,,24.2,,2021.02.05 13:34:55
TWD,,22.35,,24.21,,2021.02.05 13:31:24
TWD,,22.35,,24.21,,2021.02.05 13:22:38
TWD,,22.35,,24.21,,2021.02.05 12:45:35
TWD,,22.35,,24.21,,2021.02.05 12:35:51
TWD,,22.35,,24.21,,2021.02.05 12:32:57
TWD,,22.35,,24.21,,2021.02.05 12:24:52
TWD,,22.35,,24.21,,2021.02.05 12:22:34
TWD,,22.35,,24.21,,2021.02.05 12:21:25
TWD,,22.35,,24.21,,2021.02.05 12:05:43
TWD,,22.35,,24.21,,2021.02.05 12:01:19
TWD,,22.35,,24.21,,2021.02.05 11:56:54
TWD,,22.35,,24.21,,2021.02.05 11:53:08
TWD,,22.34,,24.2,,2021.02.05 11:36:13
TWD,,22.34,,24.2,,2021.02.05 11:29:20
TWD,,22.34,,24.2,,2021.02.05 11:28:23
TWD,,22.35,,24.21,,2021.02.05 11:25:46
TWD,,22.35,,24.21,,2021.02.05 11:24:40
TWD,,22.35,,24.21,,2021.02.05 11:22:50
TWD,,22.33,,24.19,,2021.02.05 11:21:52
TWD,,22.33,,24.19,,2021.02.05 11:09:57
TWD,,22.34,,24.2,,2021.02.05 11:07:13
TWD,,22.36,,24.23,,2021.02.05 11:02:50
TWD,,22.36,,24.23,,2021.02.05 11:00:56
TWD,,22.36,,24.23,,2021.02.05 11:00:14
TWD,,22.36,,24.22,,2021.02.05 10:59:50
TWD,,22.36,,24.22,,2021.02.05 10:59:17
TWD,,22.36,,24.22,,2021.02.05 10:58:37
TWD,,22.36,,24.22,,2021.02.05 10:53:25
TWD,,22.36,,24.22,,2021.02.05 10:52:50
TWD,,22.35,,24.21,,2021.02.05 10:51:23
TWD,,22.35,,24.21,,2021.02.05 10:43:56
TWD,,22.35,,24.21,,2021.02.05 10:42:52
TWD,,22.35,,24.21,,2021.02.05 10:40:30
TWD,,22.36,,24.22,,2021.02.05 10:40:17
TWD,,22.35,,24.21,,2021.02.05 10:34:16
TWD,,22.35,,24.21,,2021.02.05 10:32:12
TWD,,22.36,,24.22,,2021.02.05 10:30:00
TWD,,22.36,,24.22,,2021.02.05 10:30:00
TWD,,22.36,,24.22,,2021.02.05 10:30:00
TWD,,22.36,,24.22,,2021.02.05 10:29:09
TWD,,22.36,,24.22,,2021.02.05 10:27:14
TWD,,22.36,,24.23,,2021.02.05 10:24:25
TWD,,22.36,,24.22,,2021.02.05 10:23:39
TWD,,22.36,,24.22,,2021.02.05 10:23:30
TWD,,22.36,,24.22,,2021.02.05 10:22:19
TWD,,22.36,,24.22,,2021.02.05 10:18:29
TWD,,22.35,,24.21,,2021.02.05 10:15:56
TWD,,22.36,,24.22,,2021.02.05 10:13:27
TWD,,22.35,,24.21,,2021.02.05 10:11:45
TWD,,22.35,,24.21,,2021.02.05 10:11:45
TWD,,22.35,,24.21,,2021.02.05 10:10:17
TWD,,22.35,,24.21,,2021.02.05 10:10:17
TWD,,22.35,,24.21,,2021.02.05 10:08:59
TWD,,22.35,,24.21,,2021.02.05 10:05:25
TWD,,22.35,,24.21,,2021.02.05 10:04:22
TWD,,22.34,,24.2,,2021.02.05 10:02:43
TWD,,22.35,,24.21,,2021.02.05 09:55:29
TWD,,22.34,,24.2,,2021.02.05 09:51:48
TWD,,22.34,,24.2,,2021.02.05 09:50:40
TWD,,22.35,,24.21,,2021.02.05 09:49:42
TWD,,22.34,,24.2,,2021.02.05 09:49:27
TWD,,22.33,,24.19,,2021.02.05 09:48:05
TWD,,22.33,,24.19,,2021.02.05 09:47:56
TWD,,22.33,,24.19,,2021.02.05 09:41:29
TWD,,22.32,,24.18,,2021.02.05 09:39:58
TWD,,22.32,,24.18,,2021.02.05 09:36:17
