Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
AED,,169.68,,182.28,175.26,2021.02.15 09:06:19
AED,,169.69,,182.29,175.26,2021.02.15 09:04:59
AED,,169.7,,182.3,175.26,2021.02.15 09:04:29
AED,,169.7,,182.3,175.26,2021.02.15 09:04:40
AED,,169.69,,182.29,175.26,2021.02.15 09:04:19
AED,,169.68,,182.28,175.26,2021.02.15 09:02:01
AED,,169.68,,182.28,175.26,2021.02.15 08:42:54
AED,,169.68,,182.28,175.26,2021.02.15 06:01:32
AED,,169.68,,182.28,175.26,2021.02.15 05:30:00
AED,,169.68,,182.28,175.26,2021.02.15 05:30:00
AED,,169.68,,182.28,175.26,2021.02.15 05:30:00
AED,,169.68,,182.28,175.26,2021.02.15 00:00:05
AED,,169.68,,182.28,175.26,2021.02.14 10:30:00
AED,,169.68,,182.28,175.26,2021.02.14 10:30:00
AED,,169.68,,182.28,175.26,2021.02.14 10:30:00
AED,,169.68,,182.28,175.26,2021.02.14 10:30:00
AED,,169.68,,182.28,175.26,2021.02.14 10:30:00
AED,,169.68,,182.28,175.26,2021.02.14 05:30:00
AED,,169.68,,182.28,175.26,2021.02.14 05:30:00
AED,,169.68,,182.28,175.26,2021.02.14 05:30:00
AED,,169.68,,182.28,175.26,2021.02.13 10:30:00
AED,,169.68,,182.28,175.26,2021.02.13 10:30:00
AED,,169.68,,182.28,175.26,2021.02.14 00:00:05
AED,,169.68,,182.28,175.26,2021.02.13 10:30:00
AED,,169.68,,182.28,175.26,2021.02.13 10:30:00
AED,,169.68,,182.28,175.26,2021.02.13 10:30:00
AED,,169.68,,182.28,175.26,2021.02.13 05:47:24
AED,,169.68,,182.28,175.26,2021.02.13 05:47:18
AED,,169.68,,182.28,175.26,2021.02.13 05:30:00
AED,,169.68,,182.28,175.26,2021.02.13 05:30:00
AED,,169.68,,182.28,175.26,2021.02.13 00:00:05
AED,,169.68,,182.28,175.26,2021.02.13 00:00:05
