Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
AUD,499.8,484.27,503.47,505.7,498.06,2021.02.15 09:06:19
AUD,499.89,484.36,503.57,505.8,498.06,2021.02.15 09:04:59
AUD,499.91,484.38,503.59,505.82,498.06,2021.02.15 09:04:29
AUD,499.93,484.4,503.61,505.84,498.06,2021.02.15 09:04:40
AUD,499.88,484.35,503.56,505.79,498.06,2021.02.15 09:04:19
AUD,499.8,484.27,503.47,505.7,498.06,2021.02.15 09:02:01
AUD,500.05,484.52,503.73,505.96,498.06,2021.02.15 08:42:54
AUD,499.98,484.45,503.66,505.89,498.06,2021.02.15 06:01:32
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.15 05:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.15 05:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.15 05:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.15 00:00:05
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 05:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 05:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 05:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.14 00:00:05
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 10:30:00
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 05:47:24
AUD,499.73,484.2,503.4,505.63,498.06,2021.02.13 05:47:18
AUD,497.02,481.58,500.68,502.9,498.06,2021.02.13 05:30:00
AUD,497.02,481.58,500.68,502.9,498.06,2021.02.13 05:30:00
AUD,497.02,481.58,500.68,502.9,498.06,2021.02.13 00:00:05
AUD,497.02,481.58,500.68,502.9,498.06,2021.02.13 00:00:05
