Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
EUR,780.17,755.93,785.93,788.45,779.96,2021.02.15 21:05:26
EUR,779.93,755.7,785.68,788.21,779.96,2021.02.15 21:05:13
EUR,780.01,755.78,785.77,788.29,779.96,2021.02.15 20:54:24
EUR,779.94,755.71,785.69,788.22,779.96,2021.02.15 18:30:20
EUR,780.33,756.09,786.09,788.62,779.96,2021.02.15 17:33:24
EUR,780.01,755.78,785.77,788.29,779.96,2021.02.15 16:00:00
EUR,780.38,756.13,786.14,788.67,779.96,2021.02.15 15:03:35
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.15 15:04:28
EUR,780.62,756.37,786.38,788.91,779.96,2021.02.15 15:02:36
EUR,780.51,756.26,786.27,788.8,779.96,2021.02.15 15:03:06
EUR,780.57,756.32,786.33,788.86,779.96,2021.02.15 15:02:10
EUR,780.38,756.13,786.14,788.67,779.96,2021.02.15 15:01:33
EUR,780.26,756.02,786.02,788.54,779.96,2021.02.15 15:01:08
EUR,780.33,756.09,786.09,788.62,779.96,2021.02.15 14:44:52
EUR,780.58,756.33,786.34,788.87,779.96,2021.02.15 14:16:36
EUR,780.46,756.21,786.22,788.75,779.96,2021.02.15 14:16:46
EUR,780.7,756.44,786.46,788.99,779.96,2021.02.15 14:16:24
EUR,780.82,756.56,786.58,789.11,779.96,2021.02.15 14:16:10
EUR,780.49,756.24,786.25,788.78,779.96,2021.02.15 12:28:25
EUR,780.3,756.06,786.06,788.58,779.96,2021.02.15 10:30:00
EUR,780.3,756.06,786.06,788.58,779.96,2021.02.15 10:30:00
EUR,780.3,756.06,786.06,788.58,779.96,2021.02.15 10:30:00
EUR,780.3,756.06,786.06,788.58,779.96,2021.02.15 10:28:05
EUR,780.55,756.3,786.31,788.84,779.96,2021.02.15 10:27:42
EUR,780.41,756.16,786.17,788.7,779.96,2021.02.15 10:07:43
EUR,780.28,756.04,786.04,788.56,779.96,2021.02.15 10:08:05
EUR,780.53,756.28,786.29,788.82,779.96,2021.02.15 10:07:27
EUR,780.35,756.1,786.11,788.64,779.96,2021.02.15 09:05:38
EUR,780.33,756.09,786.09,788.62,779.96,2021.02.15 09:06:19
EUR,780.39,756.14,786.15,788.68,779.96,2021.02.15 09:04:59
EUR,780.41,756.16,786.17,788.7,779.96,2021.02.15 09:04:29
EUR,780.45,756.2,786.21,788.74,779.96,2021.02.15 09:04:40
EUR,780.37,756.12,786.13,788.66,779.96,2021.02.15 09:04:19
EUR,780.33,756.09,786.09,788.62,779.96,2021.02.15 09:02:01
EUR,780.39,756.14,786.15,788.68,779.96,2021.02.15 08:42:54
EUR,780.52,756.27,786.28,788.81,779.96,2021.02.15 06:01:32
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.15 05:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.15 05:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.15 05:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.15 00:00:05
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 05:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 05:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 05:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.14 00:00:05
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 10:30:00
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 05:47:24
EUR,780.2,755.96,785.96,788.48,779.96,2021.02.13 05:47:18
EUR,778.14,753.96,783.88,786.4,779.96,2021.02.13 05:30:00
EUR,778.14,753.96,783.88,786.4,779.96,2021.02.13 05:30:00
EUR,778.14,753.96,783.88,786.4,779.96,2021.02.13 00:00:05
EUR,778.14,753.96,783.88,786.4,779.96,2021.02.13 00:00:05
