Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
GBP,894.49,866.69,901.07,905.06,889.2,2021.02.15 21:05:26
GBP,894.34,866.55,900.92,904.91,889.2,2021.02.15 21:05:13
GBP,894.32,866.53,900.9,904.89,889.2,2021.02.15 20:54:24
GBP,894.06,866.28,900.64,904.62,889.2,2021.02.15 18:30:20
GBP,893.03,865.28,899.61,903.59,889.2,2021.02.15 17:33:24
GBP,893.8,866.03,900.38,904.36,889.2,2021.02.15 16:00:00
GBP,893.3,865.54,899.88,903.86,889.2,2021.02.15 15:03:35
GBP,893.03,865.28,899.61,903.59,889.2,2021.02.15 15:04:28
GBP,893.59,865.82,900.17,904.15,889.2,2021.02.15 15:02:36
GBP,893.51,865.75,900.09,904.07,889.2,2021.02.15 15:03:06
GBP,893.45,865.69,900.03,904.01,889.2,2021.02.15 15:02:10
GBP,893.24,865.49,899.82,903.8,889.2,2021.02.15 15:01:33
GBP,893.17,865.42,899.75,903.73,889.2,2021.02.15 15:01:08
GBP,893.09,865.34,899.67,903.65,889.2,2021.02.15 14:44:52
GBP,893.62,865.85,900.2,904.18,889.2,2021.02.15 14:16:36
GBP,893.48,865.72,900.06,904.04,889.2,2021.02.15 14:16:46
GBP,893.69,865.92,900.27,904.25,889.2,2021.02.15 14:16:24
GBP,893.9,866.12,900.48,904.46,889.2,2021.02.15 14:16:10
GBP,893.97,866.19,900.55,904.53,889.2,2021.02.15 12:28:25
GBP,894.17,866.38,900.75,904.74,889.2,2021.02.15 10:30:00
GBP,894.17,866.38,900.75,904.74,889.2,2021.02.15 10:30:00
GBP,894.17,866.38,900.75,904.74,889.2,2021.02.15 10:30:00
GBP,894.17,866.38,900.75,904.74,889.2,2021.02.15 10:28:05
GBP,894.43,866.64,901.01,905,889.2,2021.02.15 10:27:42
GBP,893.67,865.9,900.25,904.23,889.2,2021.02.15 10:07:43
GBP,893.73,865.96,900.31,904.29,889.2,2021.02.15 10:08:05
GBP,893.88,866.1,900.46,904.44,889.2,2021.02.15 10:07:27
GBP,893.2,865.45,899.78,903.76,889.2,2021.02.15 09:05:38
GBP,893.18,865.43,899.76,903.74,889.2,2021.02.15 09:06:19
GBP,893.25,865.5,899.83,903.81,889.2,2021.02.15 09:04:59
GBP,893.27,865.51,899.85,903.83,889.2,2021.02.15 09:04:29
GBP,893.32,865.56,899.9,903.88,889.2,2021.02.15 09:04:40
GBP,893.22,865.47,899.8,903.78,889.2,2021.02.15 09:04:19
GBP,893.18,865.43,899.76,903.74,889.2,2021.02.15 09:02:01
GBP,893.37,865.61,899.95,903.93,889.2,2021.02.15 08:42:54
GBP,891.7,863.99,898.26,902.23,889.2,2021.02.15 06:01:32
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.15 05:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.15 05:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.15 05:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.15 00:00:05
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 05:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 05:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 05:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.14 00:00:05
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 10:30:00
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 05:47:24
GBP,891.89,864.18,898.46,902.44,889.2,2021.02.13 05:47:18
GBP,887.84,860.25,894.38,898.33,889.2,2021.02.13 05:30:00
GBP,887.84,860.25,894.38,898.33,889.2,2021.02.13 05:30:00
GBP,887.84,860.25,894.38,898.33,889.2,2021.02.13 00:00:05
GBP,887.84,860.25,894.38,898.33,889.2,2021.02.13 00:00:05
