Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
IDR,,0.0448,,0.0483,,2021.02.15 21:05:26
IDR,,0.0448,,0.0483,,2021.02.15 21:05:13
IDR,,0.0448,,0.0483,,2021.02.15 20:54:24
IDR,,0.0448,,0.0483,,2021.02.15 18:30:20
IDR,,0.0448,,0.0483,,2021.02.15 17:33:24
IDR,,0.0448,,0.0483,,2021.02.15 16:00:00
IDR,,0.0448,,0.0483,,2021.02.15 15:03:35
IDR,,0.0447,,0.0482,,2021.02.15 15:04:28
IDR,,0.0448,,0.0483,,2021.02.15 15:02:36
IDR,,0.0448,,0.0483,,2021.02.15 15:03:06
IDR,,0.0448,,0.0483,,2021.02.15 15:02:10
IDR,,0.0448,,0.0483,,2021.02.15 15:01:33
IDR,,0.0448,,0.0483,,2021.02.15 15:01:08
IDR,,0.0447,,0.0482,,2021.02.15 14:44:52
IDR,,0.0448,,0.0483,,2021.02.15 14:16:36
IDR,,0.0448,,0.0483,,2021.02.15 14:16:46
IDR,,0.0448,,0.0483,,2021.02.15 14:16:24
IDR,,0.0448,,0.0483,,2021.02.15 14:16:10
IDR,,0.0448,,0.0483,,2021.02.15 12:28:25
IDR,,0.0447,,0.0482,,2021.02.15 10:30:00
IDR,,0.0447,,0.0482,,2021.02.15 10:30:00
IDR,,0.0447,,0.0482,,2021.02.15 10:30:00
IDR,,0.0447,,0.0482,,2021.02.15 10:28:05
IDR,,0.0447,,0.0482,,2021.02.15 10:27:42
IDR,,0.0447,,0.0482,,2021.02.15 10:07:43
IDR,,0.0447,,0.0482,,2021.02.15 10:08:05
IDR,,0.0447,,0.0482,,2021.02.15 10:07:27
IDR,,0.0446,,0.0481,,2021.02.15 09:05:38
IDR,,0.0446,,0.0481,,2021.02.15 09:06:19
IDR,,0.0446,,0.0481,,2021.02.15 09:04:59
IDR,,0.0446,,0.0481,,2021.02.15 09:04:29
IDR,,0.0446,,0.0481,,2021.02.15 09:04:40
IDR,,0.0446,,0.0481,,2021.02.15 09:04:19
IDR,,0.0446,,0.0481,,2021.02.15 09:02:01
IDR,,0.0446,,0.0481,,2021.02.15 08:42:54
IDR,,0.0446,,0.0481,,2021.02.15 06:01:32
IDR,,0.0446,,0.0481,,2021.02.15 05:30:00
IDR,,0.0446,,0.0481,,2021.02.15 05:30:00
IDR,,0.0446,,0.0481,,2021.02.15 05:30:00
IDR,,0.0446,,0.0481,,2021.02.15 00:00:05
IDR,,0.0446,,0.0481,,2021.02.14 10:30:00
IDR,,0.0446,,0.0481,,2021.02.14 10:30:00
IDR,,0.0446,,0.0481,,2021.02.14 10:30:00
IDR,,0.0446,,0.0481,,2021.02.14 10:30:00
IDR,,0.0446,,0.0481,,2021.02.14 10:30:00
IDR,,0.0446,,0.0481,,2021.02.14 05:30:00
IDR,,0.0446,,0.0481,,2021.02.14 05:30:00
IDR,,0.0446,,0.0481,,2021.02.14 05:30:00
IDR,,0.0446,,0.0481,,2021.02.13 10:30:00
IDR,,0.0446,,0.0481,,2021.02.13 10:30:00
IDR,,0.0446,,0.0481,,2021.02.14 00:00:05
IDR,,0.0446,,0.0481,,2021.02.13 10:30:00
IDR,,0.0446,,0.0481,,2021.02.13 10:30:00
IDR,,0.0446,,0.0481,,2021.02.13 10:30:00
IDR,,0.0446,,0.0481,,2021.02.13 05:47:24
IDR,,0.0446,,0.0481,,2021.02.13 05:47:18
IDR,,0.0446,,0.0481,,2021.02.13 05:30:00
IDR,,0.0446,,0.0481,,2021.02.13 05:30:00
IDR,,0.0446,,0.0481,,2021.02.13 00:00:05
IDR,,0.0446,,0.0481,,2021.02.13 00:00:05
