Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
INR,,8.3628,,9.4304,,2021.02.15 09:06:19
INR,,8.3635,,9.4311,,2021.02.15 09:04:59
INR,,8.3637,,9.4315,,2021.02.15 09:04:29
INR,,8.3641,,9.4319,,2021.02.15 09:04:40
INR,,8.3632,,9.4308,,2021.02.15 09:04:19
INR,,8.3628,,9.4304,,2021.02.15 09:02:01
INR,,8.3628,,9.4304,,2021.02.15 08:42:54
INR,,8.3628,,9.4304,,2021.02.15 06:01:32
INR,,8.3628,,9.4304,,2021.02.15 05:30:00
INR,,8.3628,,9.4304,,2021.02.15 05:30:00
INR,,8.3628,,9.4304,,2021.02.15 05:30:00
INR,,8.3628,,9.4304,,2021.02.15 00:00:05
INR,,8.3628,,9.4304,,2021.02.14 10:30:00
INR,,8.3628,,9.4304,,2021.02.14 10:30:00
INR,,8.3628,,9.4304,,2021.02.14 10:30:00
INR,,8.3628,,9.4304,,2021.02.14 10:30:00
INR,,8.3628,,9.4304,,2021.02.14 10:30:00
INR,,8.3628,,9.4304,,2021.02.14 05:30:00
INR,,8.3628,,9.4304,,2021.02.14 05:30:00
INR,,8.3628,,9.4304,,2021.02.14 05:30:00
INR,,8.3628,,9.4304,,2021.02.13 10:30:00
INR,,8.3628,,9.4304,,2021.02.13 10:30:00
INR,,8.3628,,9.4304,,2021.02.14 00:00:05
INR,,8.3628,,9.4304,,2021.02.13 10:30:00
INR,,8.3628,,9.4304,,2021.02.13 10:30:00
INR,,8.3628,,9.4304,,2021.02.13 10:30:00
INR,,8.3628,,9.4304,,2021.02.13 05:47:24
INR,,8.3628,,9.4304,,2021.02.13 05:47:18
INR,,8.3586,,9.4256,,2021.02.13 05:30:00
INR,,8.3586,,9.4256,,2021.02.13 05:30:00
INR,,8.3586,,9.4256,,2021.02.13 00:00:05
INR,,8.3586,,9.4256,,2021.02.13 00:00:05
