Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
MOP,80.81,78.1,81.13,83.83,,2021.02.15 09:06:19
MOP,80.82,78.11,81.14,83.84,,2021.02.15 09:04:59
MOP,80.82,78.11,81.14,83.84,,2021.02.15 09:04:29
MOP,80.83,78.12,81.15,83.85,,2021.02.15 09:04:40
MOP,80.82,78.11,81.14,83.84,,2021.02.15 09:04:19
MOP,80.81,78.1,81.13,83.83,,2021.02.15 09:02:01
MOP,80.82,78.11,81.14,83.84,,2021.02.15 08:42:54
MOP,80.81,78.1,81.13,83.83,,2021.02.15 06:01:32
MOP,80.82,78.11,81.14,83.84,,2021.02.15 05:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.15 05:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.15 05:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.15 00:00:05
MOP,80.82,78.11,81.14,83.84,,2021.02.14 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 05:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 05:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 05:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.13 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.13 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.14 00:00:05
MOP,80.82,78.11,81.14,83.84,,2021.02.13 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.13 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.13 10:30:00
MOP,80.82,78.11,81.14,83.84,,2021.02.13 05:47:24
MOP,80.82,78.11,81.14,83.84,,2021.02.13 05:47:18
MOP,80.81,78.1,81.13,83.83,,2021.02.13 05:30:00
MOP,80.81,78.1,81.13,83.83,,2021.02.13 05:30:00
MOP,80.81,78.1,81.13,83.83,,2021.02.13 00:00:05
MOP,80.81,78.1,81.13,83.83,,2021.02.13 00:00:05
