Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
MYR,158.48,,159.91,,159.15,2021.02.15 21:05:26
MYR,158.43,,159.86,,159.15,2021.02.15 21:05:13
MYR,158.38,,159.81,,159.15,2021.02.15 20:54:24
MYR,158.38,,159.81,,159.15,2021.02.15 18:30:20
MYR,158.38,,159.81,,159.15,2021.02.15 17:33:24
MYR,158.38,,159.81,,159.15,2021.02.15 16:00:00
MYR,158.42,,159.85,,159.15,2021.02.15 15:03:35
MYR,158.38,,159.81,,159.15,2021.02.15 15:04:28
MYR,158.48,,159.91,,159.15,2021.02.15 15:02:36
MYR,158.44,,159.87,,159.15,2021.02.15 15:03:06
MYR,158.46,,159.89,,159.15,2021.02.15 15:02:10
MYR,158.43,,159.86,,159.15,2021.02.15 15:01:33
MYR,158.41,,159.84,,159.15,2021.02.15 15:01:08
MYR,158.38,,159.81,,159.15,2021.02.15 14:44:52
MYR,158.41,,159.84,,159.15,2021.02.15 14:16:36
MYR,158.38,,159.81,,159.15,2021.02.15 14:16:46
MYR,158.43,,159.86,,159.15,2021.02.15 14:16:24
MYR,158.46,,159.89,,159.15,2021.02.15 14:16:10
MYR,158.48,,159.91,,159.15,2021.02.15 12:28:25
MYR,158.48,,159.91,,159.15,2021.02.15 10:30:00
MYR,158.48,,159.91,,159.15,2021.02.15 10:30:00
MYR,158.48,,159.91,,159.15,2021.02.15 10:30:00
MYR,158.48,,159.91,,159.15,2021.02.15 10:28:05
MYR,158.5,,159.93,,159.15,2021.02.15 10:27:42
MYR,158.54,,159.98,,159.15,2021.02.15 10:07:43
MYR,158.53,,159.96,,159.15,2021.02.15 10:08:05
MYR,158.57,,160.01,,159.15,2021.02.15 10:07:27
MYR,158.6,,160.04,,159.15,2021.02.15 09:05:38
MYR,158.59,,160.03,,159.15,2021.02.15 09:06:19
MYR,158.6,,160.04,,159.15,2021.02.15 09:04:59
MYR,158.61,,160.05,,159.15,2021.02.15 09:04:29
MYR,158.62,,160.06,,159.15,2021.02.15 09:04:40
MYR,158.6,,160.04,,159.15,2021.02.15 09:04:19
MYR,158.59,,160.03,,159.15,2021.02.15 09:02:01
MYR,158.59,,160.03,,159.15,2021.02.15 08:42:54
MYR,158.59,,160.03,,159.15,2021.02.15 06:01:32
MYR,158.59,,160.03,,159.15,2021.02.15 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.15 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.15 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.15 00:00:05
MYR,158.59,,160.03,,159.15,2021.02.14 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.14 00:00:05
MYR,158.59,,160.03,,159.15,2021.02.13 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 10:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 05:47:24
MYR,158.59,,160.03,,159.15,2021.02.13 05:47:18
MYR,158.59,,160.03,,159.15,2021.02.13 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 05:30:00
MYR,158.59,,160.03,,159.15,2021.02.13 00:00:05
MYR,158.59,,160.03,,159.15,2021.02.13 00:00:05
