Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
NOK,76.13,73.78,76.75,77.11,76.21,2021.02.15 09:06:19
NOK,76.14,73.79,76.76,77.12,76.21,2021.02.15 09:04:59
NOK,76.14,73.79,76.76,77.12,76.21,2021.02.15 09:04:29
NOK,76.14,73.79,76.76,77.12,76.21,2021.02.15 09:04:40
NOK,76.14,73.79,76.76,77.12,76.21,2021.02.15 09:04:19
NOK,76.14,73.79,76.76,77.12,76.21,2021.02.15 09:02:01
NOK,76.13,73.78,76.75,77.11,76.21,2021.02.15 08:42:54
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.15 06:01:32
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.15 05:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.15 05:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.15 05:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.15 00:00:05
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 05:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 05:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 05:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.14 00:00:05
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 10:30:00
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 05:47:24
NOK,76.04,73.7,76.66,77.02,76.21,2021.02.13 05:47:18
NOK,75.6,73.26,76.2,76.57,76.21,2021.02.13 05:30:00
NOK,75.6,73.26,76.2,76.57,76.21,2021.02.13 05:30:00
NOK,75.6,73.26,76.2,76.57,76.21,2021.02.13 00:00:05
NOK,75.6,73.26,76.2,76.57,76.21,2021.02.13 00:00:05
