Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SGD,486.12,471.12,489.54,491.98,485.6,2021.02.15 21:05:26
SGD,485.97,470.98,489.39,491.83,485.6,2021.02.15 21:05:13
SGD,485.89,470.9,489.31,491.74,485.6,2021.02.15 20:54:24
SGD,485.86,470.87,489.28,491.71,485.6,2021.02.15 18:30:20
SGD,485.97,470.98,489.39,491.83,485.6,2021.02.15 17:33:24
SGD,485.56,470.58,488.98,491.41,485.6,2021.02.15 16:00:00
SGD,485.64,470.66,489.06,491.49,485.6,2021.02.15 15:03:35
SGD,485.52,470.54,488.94,491.37,485.6,2021.02.15 15:04:28
SGD,485.79,470.8,489.21,491.64,485.6,2021.02.15 15:02:36
SGD,485.68,470.7,489.1,491.53,485.6,2021.02.15 15:03:06
SGD,485.71,470.73,489.13,491.56,485.6,2021.02.15 15:02:10
SGD,485.64,470.66,489.06,491.49,485.6,2021.02.15 15:01:33
SGD,485.56,470.58,488.98,491.41,485.6,2021.02.15 15:01:08
SGD,485.6,470.62,489.02,491.45,485.6,2021.02.15 14:44:52
SGD,485.75,470.76,489.17,491.6,485.6,2021.02.15 14:16:36
SGD,485.67,470.69,489.09,491.52,485.6,2021.02.15 14:16:46
SGD,485.82,470.83,489.24,491.67,485.6,2021.02.15 14:16:24
SGD,485.9,470.91,489.32,491.75,485.6,2021.02.15 14:16:10
SGD,486.05,471.05,489.47,491.91,485.6,2021.02.15 12:28:25
SGD,486.08,471.08,489.5,491.94,485.6,2021.02.15 10:30:00
SGD,486.08,471.08,489.5,491.94,485.6,2021.02.15 10:30:00
SGD,486.08,471.08,489.5,491.94,485.6,2021.02.15 10:30:00
SGD,486.08,471.08,489.5,491.94,485.6,2021.02.15 10:28:05
SGD,486.16,471.16,489.58,492.02,485.6,2021.02.15 10:27:42
SGD,485.98,470.99,489.4,491.84,485.6,2021.02.15 10:07:43
SGD,485.94,470.95,489.36,491.8,485.6,2021.02.15 10:08:05
SGD,486.09,471.09,489.51,491.95,485.6,2021.02.15 10:07:27
SGD,485.85,470.86,489.27,491.7,485.6,2021.02.15 09:05:38
SGD,485.83,470.84,489.25,491.68,485.6,2021.02.15 09:06:19
SGD,485.87,470.88,489.29,491.72,485.6,2021.02.15 09:04:59
SGD,485.89,470.9,489.31,491.74,485.6,2021.02.15 09:04:29
SGD,485.91,470.92,489.33,491.76,485.6,2021.02.15 09:04:40
SGD,485.86,470.87,489.28,491.71,485.6,2021.02.15 09:04:19
SGD,485.83,470.84,489.25,491.68,485.6,2021.02.15 09:02:01
SGD,485.8,470.81,489.22,491.65,485.6,2021.02.15 08:42:54
SGD,485.76,470.77,489.18,491.61,485.6,2021.02.15 06:01:32
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.15 05:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.15 05:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.15 05:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.15 00:00:05
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 05:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 05:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 05:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.14 00:00:05
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 10:30:00
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 05:47:24
SGD,485.72,470.74,489.14,491.57,485.6,2021.02.13 05:47:18
SGD,484.63,469.67,488.03,490.46,485.6,2021.02.13 05:30:00
SGD,484.63,469.67,488.03,490.46,485.6,2021.02.13 05:30:00
SGD,484.63,469.67,488.03,490.46,485.6,2021.02.13 00:00:05
SGD,484.63,469.67,488.03,490.46,485.6,2021.02.13 00:00:05
