Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 21:05:26
THB,21.5,20.84,21.68,22.36,21.51,2021.02.15 21:05:13
THB,21.49,20.83,21.67,22.35,21.51,2021.02.15 20:54:24
THB,21.49,20.83,21.67,22.35,21.51,2021.02.15 18:30:20
THB,21.48,20.82,21.66,22.34,21.51,2021.02.15 17:33:24
THB,21.49,20.83,21.67,22.35,21.51,2021.02.15 16:00:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 15:03:35
THB,21.5,20.84,21.68,22.36,21.51,2021.02.15 15:04:28
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 15:02:36
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 15:03:06
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 15:02:10
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 15:01:33
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 15:01:08
THB,21.5,20.84,21.68,22.36,21.51,2021.02.15 14:44:52
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 14:16:36
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 14:16:46
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 14:16:24
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 14:16:10
THB,21.54,20.88,21.72,22.4,21.51,2021.02.15 12:28:25
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 10:30:00
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 10:30:00
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 10:30:00
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 10:28:05
THB,21.53,20.87,21.71,22.39,21.51,2021.02.15 10:27:42
THB,21.53,20.87,21.71,22.39,21.51,2021.02.15 10:07:43
THB,21.53,20.87,21.71,22.39,21.51,2021.02.15 10:08:05
THB,21.54,20.88,21.72,22.4,21.51,2021.02.15 10:07:27
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:05:38
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:06:19
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:04:59
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:04:29
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:04:40
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:04:19
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 09:02:01
THB,21.52,20.86,21.7,22.38,21.51,2021.02.15 08:42:54
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 06:01:32
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 05:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 05:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 05:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.15 00:00:05
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 05:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 05:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 05:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.14 00:00:05
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 10:30:00
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 05:47:24
THB,21.51,20.85,21.69,22.37,21.51,2021.02.13 05:47:18
THB,21.49,20.83,21.67,22.35,21.51,2021.02.13 05:30:00
THB,21.49,20.83,21.67,22.35,21.51,2021.02.13 05:30:00
THB,21.49,20.83,21.67,22.35,21.51,2021.02.13 00:00:05
THB,21.49,20.83,21.67,22.35,21.51,2021.02.13 00:00:05
