Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 09:06:19
USD,644.69,639.44,647.42,647.42,643.91,2021.02.15 09:04:59
USD,644.71,639.46,647.44,647.44,643.91,2021.02.15 09:04:29
USD,644.74,639.49,647.47,647.47,643.91,2021.02.15 09:04:40
USD,644.67,639.42,647.4,647.4,643.91,2021.02.15 09:04:19
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 09:02:01
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 08:42:54
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 06:01:32
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.15 00:00:05
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.14 00:00:05
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 10:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 05:47:24
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 05:47:18
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 05:30:00
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 00:00:05
USD,644.64,639.39,647.37,647.37,643.91,2021.02.13 00:00:05
