Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
ZAR,44.58,41.16,44.88,48.38,43.71,2021.02.15 21:05:26
ZAR,44.56,41.14,44.86,48.36,43.71,2021.02.15 21:05:13
ZAR,44.55,41.13,44.85,48.35,43.71,2021.02.15 20:54:24
ZAR,44.53,41.11,44.83,48.33,43.71,2021.02.15 18:30:20
ZAR,44.51,41.09,44.81,48.31,43.71,2021.02.15 17:33:24
ZAR,44.36,40.95,44.66,48.15,43.71,2021.02.15 16:00:00
ZAR,44.43,41.02,44.73,48.22,43.71,2021.02.15 15:03:35
ZAR,44.41,41,44.71,48.2,43.71,2021.02.15 15:04:28
ZAR,44.4,40.99,44.7,48.19,43.71,2021.02.15 15:02:36
ZAR,44.42,41.01,44.72,48.21,43.71,2021.02.15 15:03:06
ZAR,44.39,40.98,44.69,48.18,43.71,2021.02.15 15:02:10
ZAR,44.38,40.97,44.68,48.17,43.71,2021.02.15 15:01:33
ZAR,44.38,40.97,44.68,48.17,43.71,2021.02.15 15:01:08
ZAR,44.41,41,44.71,48.2,43.71,2021.02.15 14:44:52
ZAR,44.44,41.03,44.74,48.23,43.71,2021.02.15 14:16:36
ZAR,44.43,41.02,44.73,48.22,43.71,2021.02.15 14:16:46
ZAR,44.44,41.03,44.74,48.23,43.71,2021.02.15 14:16:24
ZAR,44.45,41.04,44.75,48.24,43.71,2021.02.15 14:16:10
ZAR,44.34,40.94,44.64,48.12,43.71,2021.02.15 12:28:25
ZAR,44.32,40.92,44.62,48.1,43.71,2021.02.15 10:30:00
ZAR,44.32,40.92,44.62,48.1,43.71,2021.02.15 10:30:00
ZAR,44.32,40.92,44.62,48.1,43.71,2021.02.15 10:30:00
ZAR,44.32,40.92,44.62,48.1,43.71,2021.02.15 10:28:05
ZAR,44.33,40.93,44.63,48.11,43.71,2021.02.15 10:27:42
ZAR,44.31,40.91,44.61,48.09,43.71,2021.02.15 10:07:43
ZAR,44.31,40.91,44.61,48.09,43.71,2021.02.15 10:08:05
ZAR,44.32,40.92,44.62,48.1,43.71,2021.02.15 10:07:27
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 09:05:38
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 09:06:19
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 09:04:59
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 09:04:29
ZAR,44.31,40.91,44.61,48.09,43.71,2021.02.15 09:04:40
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 09:04:19
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 09:02:01
ZAR,44.3,40.9,44.6,48.08,43.71,2021.02.15 08:42:54
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.15 06:01:32
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.15 05:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.15 05:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.15 05:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.15 00:00:05
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 05:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 05:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 05:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.14 00:00:05
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 10:30:00
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 05:47:24
ZAR,44.24,40.84,44.54,48.02,43.71,2021.02.13 05:47:18
ZAR,43.89,40.52,44.19,47.64,43.71,2021.02.13 05:30:00
ZAR,43.89,40.52,44.19,47.64,43.71,2021.02.13 05:30:00
ZAR,43.89,40.52,44.19,47.64,43.71,2021.02.13 00:00:05
ZAR,43.89,40.52,44.19,47.64,43.71,2021.02.13 00:00:05
